原始名称	标准名称	映射规则	频次	来源
腹膜继发恶性肿瘤	腹膜继发恶性肿瘤	原始名称	92	admission,discharge
肠梗阻	肠梗阻	原始名称	90	admission,discharge
上颌窦炎	上颌窦炎	原始名称	87	admission,discharge
输尿管恶性肿瘤	输尿管恶性肿瘤	原始名称	87	admission,discharge
胃肠道恶性肿瘤	胃肠道恶性肿瘤	原始名称	86	admission,discharge
幽门螺旋杆菌感染	幽门螺旋杆菌感染	原始名称	84	admission,discharge
心动过速	心动过速	原始名称	84	admission,discharge
慢性骨髓增生性疾病	骨髓增殖性肿瘤	同义词映射	84	admission,discharge
脾继发恶性肿瘤	脾继发恶性肿瘤	原始名称	84	admission,discharge
高血压病3级(极高危)	高血压3级	同义词映射	84	admission,discharge
慢性粒细胞性白血病	慢性粒细胞白血病	同义词映射	79	admission,discharge
肝部继发性恶性肿瘤	肝继发恶性肿瘤	解剖方位归一	79	admission,discharge
下肢静脉血栓形成	下肢静脉血栓形成	原始名称	78	admission,discharge
窦性心律失常	窦性心律失常	原始名称	78	admission,discharge
低钠血症	低钠血症	原始名称	77	admission,discharge
心房颤动	心房颤动	原始名称	77	admission,discharge
双肺恶性肿瘤	双肺恶性肿瘤	原始名称	76	admission,discharge
支气管或肺恶性肿瘤	肺恶性肿瘤	同义词映射	76	admission,discharge
非霍奇金淋巴瘤	非霍奇金淋巴瘤	原始名称	75	admission,discharge
高血压3级	高血压3级	原始名称	74	admission,discharge
陈旧性肺结核	陈旧性肺结核	原始名称	72	admission,discharge
原发性骨髓纤维化	原发性骨髓纤维化	原始名称	71	admission,discharge
慢性浅表性胃炎	慢性胃炎	同义词映射	71	admission,discharge
肝血管瘤	肝血管瘤	原始名称	70	admission,discharge
肾性贫血	肾性贫血	原始名称	69	admission,discharge
先天性肺大泡	先天性肺大疱	基础规范化	68	discharge
恶性肿瘤内分泌治疗	恶性肿瘤内分泌治疗	原始名称	68	admission,discharge
恶性肿瘤终末期放疗	恶性肿瘤终末期	同义词映射	68	admission,discharge
末梢神经病[末梢神经炎]	末梢神经病	基础规范化	68	admission,discharge
支气管扩张伴感染	支气管扩张伴感染	原始名称	67	admission,discharge
颈椎病	颈椎病	原始名称	67	admission,discharge
慢性丙型病毒性肝炎	慢性丙型病毒性肝炎	原始名称	66	admission,discharge
电解质代谢紊乱	电解质紊乱	同义词映射	66	admission,discharge
肾继发恶性肿瘤	肾继发恶性肿瘤	原始名称	66	admission,discharge
腹部恶性肿瘤	腹部恶性肿瘤	原始名称	66	admission,discharge
大网膜继发恶性肿瘤	大网膜继发恶性肿瘤	原始名称	65	admission,discharge
支气管扩张(症)	支气管扩张	基础规范化	65	admission,discharge
溶血性贫血	溶血性贫血	原始名称	64	admission,discharge
恶病质	恶病质	原始名称	63	admission,discharge
食管贲门连接处恶性肿瘤	胃食管连接处恶性肿瘤	解剖方位归一	63	admission,discharge
骨恶性肿瘤	骨恶性肿瘤	原始名称	61	admission,discharge
后天性肾囊肿	肾囊肿	同义词映射	60	admission,discharge
恶性肿瘤放射性粒子置入治疗	恶性肿瘤放射治疗	同义词映射	60	admission,discharge
无症状心肌缺血	心肌缺血	同义词映射	59	admission,discharge
颈椎恶性肿瘤	颈椎恶性肿瘤	原始名称	59	admission,discharge
原发性血小板减少症	原发性血小板减少症	原始名称	58	admission,discharge
心房颤动[心房纤颤]	心房颤动	基础规范化	58	admission,discharge
升结肠恶性肿瘤	结肠恶性肿瘤	解剖方位归一	57	admission,discharge
梗阻性黄疸	梗阻性黄疸	原始名称	57	admission,discharge
腔隙性脑梗死	脑梗死	同义词映射	57	admission,discharge
陈旧性心肌梗死	陈旧性心肌梗死	原始名称	57	admission,discharge
恶性黑色素瘤	恶性黑色素瘤	原始名称	56	admission,discharge
白细胞减少	白细胞减少	原始名称	56	admission,discharge
慢性淋巴细胞白血病	慢性淋巴细胞白血病	原始名称	54	admission,discharge
腹膜后继发恶性肿瘤	腹膜后继发恶性肿瘤	原始名称	54	admission,discharge
乳腺增生	乳腺增生	原始名称	52	admission,discharge
双侧乳腺恶性肿瘤	双侧乳腺恶性肿瘤	原始名称	52	admission,discharge
脑膜继发恶性肿瘤	脑膜继发恶性肿瘤	原始名称	52	admission,discharge
滤泡性淋巴瘤	滤泡性淋巴瘤	原始名称	51	admission,discharge
肾占位性病变	肾占位性病变	原始名称	51	admission,discharge
胃息肉	胃息肉	原始名称	50	admission,discharge
肺肿物	肺占位性病变	同义词映射	49	admission,discharge
上腔静脉综合征	上腔静脉综合征	原始名称	48	admission,discharge
下肢静脉曲张	下肢静脉曲张	原始名称	48	admission,discharge
反流性食管炎	反流性食管炎	原始名称	48	admission,discharge
不稳定型心绞痛	不稳定型心绞痛	原始名称	47	admission,discharge
呼吸困难	呼吸困难	原始名称	47	admission,discharge
胆囊切除术后状态	胆囊切除术后状态	原始名称	47	admission,discharge
胆管扩张	胆管扩张	原始名称	47	admission,discharge
恶性肿瘤维持性化学治疗	恶性肿瘤化学治疗	治疗状态归一	46	admission,discharge
纵隔恶性肿瘤	纵隔恶性肿瘤	原始名称	46	admission,discharge
感染性发热	感染性发热	原始名称	45	admission,discharge
筛窦炎	筛窦炎	原始名称	45	admission,discharge
舌恶性肿瘤	舌恶性肿瘤	原始名称	45	admission,discharge
阑尾炎	阑尾炎	原始名称	45	admission,discharge
骨髓增生异常性贫血	骨髓增生异常综合征	同义词映射	45	admission,discharge
心功能Ⅲ级	心功能Ⅲ级	原始名称	44	admission,discharge
白内障	白内障	原始名称	43	admission,discharge
皮肤恶性肿瘤	皮肤恶性肿瘤	原始名称	43	admission,discharge
胆囊占位性病变	胆囊占位性病变	原始名称	43	admission,discharge
腹腔淋巴结肿大	腹腔淋巴结肿大	原始名称	43	admission,discharge
骨髓抑制	骨髓抑制	原始名称	43	admission,discharge
局部淋巴结肿大	淋巴结肿大	同义词映射	42	admission,discharge
左前分支传导阻滞	左前分支传导阻滞	原始名称	42	admission,discharge
恶性肿瘤	恶性肿瘤	原始名称	42	admission,discharge
肝胆管恶性肿瘤	肝胆管恶性肿瘤	原始名称	42	admission,discharge
阵发性睡眠性血红蛋白尿	阵发性睡眠性血红蛋白尿	原始名称	42	admission,discharge
前列腺囊肿	前列腺囊肿	原始名称	41	admission,discharge
化疗后恢复期	化疗后恢复期	原始名称	41	admission,discharge
电解质紊乱	电解质紊乱	原始名称	41	admission,discharge
腋窝淋巴结继发恶性肿瘤	腋窝淋巴结继发恶性肿瘤	原始名称	41	admission,discharge
完全性右束支传导阻滞	完全性右束支传导阻滞	原始名称	40	admission,discharge
脑占位性病变	脑占位性病变	原始名称	40	admission,discharge
精神分裂症	精神分裂症	原始名称	39	admission,discharge
糜烂性胃炎	糜烂性胃炎	原始名称	39	admission,discharge
肿瘤性病理性骨折	病理性骨折	同义词映射	39	admission,discharge
乙状结肠恶性肿瘤	乙状结肠恶性肿瘤	原始名称	38	admission,discharge
前列腺炎	前列腺炎	原始名称	38	admission,discharge
慢性肺源性心脏病	肺源性心脏病	同义词映射	37	admission,discharge
慢性阻塞性肺疾病I级	慢性阻塞性肺疾病	同义词映射	37	discharge
放射性肺炎	放射性肺炎	原始名称	37	admission,discharge
脑出血后遗症	脑出血后遗症	原始名称	37	admission,discharge
认知障碍	认知障碍	原始名称	37	admission,discharge
食管炎	食管炎	原始名称	37	admission,discharge
十二指肠恶性肿瘤	十二指肠恶性肿瘤	原始名称	36	admission,discharge
干燥综合征性中枢神经损害	干燥综合征性中枢神经损害	原始名称	36	admission,discharge
淋巴结恶性肿瘤	淋巴结恶性肿瘤	原始名称	36	admission,discharge
肺真菌感染	肺真菌感染	原始名称	36	admission,discharge
血糖升高	高血糖	同义词映射	36	admission,discharge
银屑病	银屑病	原始名称	36	admission,discharge
静脉血栓形成	静脉血栓形成	原始名称	36	admission,discharge
骨质破坏	骨质破坏	原始名称	36	admission,discharge
肺水肿	肺水肿	原始名称	35	admission,discharge
颈椎间盘突出	颈椎间盘突出	原始名称	35	admission,discharge
横结肠恶性肿瘤	结肠恶性肿瘤	解剖方位归一	34	admission,discharge
特发性血小板减少性紫癜	特发性血小板减少性紫癜	原始名称	34	admission,discharge
轻度贫血	贫血	同义词映射	34	admission,discharge
颈部淋巴结继发恶性肿瘤	颈部淋巴结继发恶性肿瘤	原始名称	34	admission,discharge
食管胃连接处恶性肿瘤	食管胃连接处恶性肿瘤	原始名称	34	admission,discharge
甲状腺功能亢进症	甲状腺功能亢进症	原始名称	33	admission,discharge
类风湿性关节炎	类风湿关节炎	同义词映射	33	admission,discharge
胰腺恶性肿瘤个人史	胰腺恶性肿瘤个人史	原始名称	33	admission,discharge
高脂血症	高脂血症	原始名称	33	admission,discharge
鼻咽恶性肿瘤	鼻咽恶性肿瘤	原始名称	33	admission,discharge
慢性骨髓增殖性疾病	慢性骨髓增殖性疾病	原始名称	32	admission,discharge
泌尿道感染	泌尿道感染	原始名称	32	admission,discharge
胃肠功能紊乱	胃肠功能紊乱	原始名称	32	admission,discharge
陈旧性脑梗死	脑梗死	同义词映射	32	admission,discharge
宫颈囊肿	宫颈囊肿	原始名称	31	admission,discharge
间质性肺炎	间质性肺炎	原始名称	31	admission,discharge
高血压2级	高血压2级	原始名称	31	admission,discharge
后循环缺血	后循环缺血	原始名称	30	admission,discharge
房室传导阻滞	房室传导阻滞	原始名称	30	admission,discharge
纵隔淋巴结肿大	纵隔淋巴结肿大	原始名称	30	admission,discharge
脑水肿	脑水肿	原始名称	30	admission,discharge
食管肿物	食管肿物	原始名称	30	admission,discharge
慢性阻塞性肺病伴有急性加重	慢性阻塞性肺疾病急性加重	同义词映射	29	admission,discharge
涎腺肿物	涎腺肿物	原始名称	29	admission,discharge
脾囊肿	脾囊肿	原始名称	29	admission,discharge
风湿性心脏病	风湿性心脏病	原始名称	29	admission,discharge
上消化道出血	上消化道出血	原始名称	28	admission,discharge
白血病	白血病	原始名称	28	admission,discharge
肾盂恶性肿瘤	肾盂恶性肿瘤	原始名称	28	admission,discharge
胃溃疡	胃溃疡	原始名称	28	admission,discharge
颅内占位性病变	颅内占位性病变	原始名称	28	admission,discharge
慢性气管炎	慢性支气管炎	同义词映射	27	admission,discharge
支气管炎	支气管炎	原始名称	27	admission,discharge
皮肤感染	皮肤感染	原始名称	27	admission,discharge
纯红细胞再生障碍性贫血	纯红细胞再生障碍	同义词映射	27	admission,discharge
