原始名称	标准名称	映射规则	频次	来源
中枢神经系统白血病	中枢神经系统白血病	原始名称	12	admission,discharge
乙型肝炎后肝硬化失代偿期	乙型肝炎后肝硬化失代偿期	原始名称	12	admission,discharge
乳头炎	乳头炎	原始名称	12	admission,discharge
冠心病心律失常型	冠状动脉粥样硬化性心脏病	同义词映射	12	discharge
咳嗽变异性哮喘	咳嗽变异性哮喘	原始名称	12	discharge
多囊肾	多囊肾	原始名称	12	discharge
心肌梗死	心肌梗死	原始名称	12	admission,discharge
恶性肿瘤化学治疗后恢复期	恶性肿瘤化学治疗后恢复期	原始名称	12	admission,discharge
截瘫	截瘫	原始名称	12	admission,discharge
拒尊医嘱并离院	拒绝医疗后离院	同义词映射	12	discharge
牙龈恶性肿瘤	牙龈恶性肿瘤	原始名称	12	admission,discharge
病毒性肺炎	病毒性肺炎	原始名称	12	admission,discharge
白细胞增多症	白细胞增多症	原始名称	12	admission,discharge
真菌感染	真菌感染	原始名称	12	admission,discharge
纵隔淋巴结继发恶性肿瘤	纵隔淋巴结继发恶性肿瘤	原始名称	12	admission,discharge
肝静脉血栓形成	肝静脉血栓形成	原始名称	12	discharge
肺脓肿伴有肺炎	肺脓肿	同义词映射	12	admission,discharge
肾炎	肾炎	原始名称	12	admission,discharge
胆石症	胆石症	原始名称	12	discharge
腹腔淋巴瘤	腹腔淋巴瘤	原始名称	12	admission,discharge
腹腔淋巴结继发恶性肿瘤	腹腔淋巴结继发恶性肿瘤	原始名称	12	admission,discharge
输尿管继发恶性肿瘤	输尿管继发恶性肿瘤	原始名称	12	admission,discharge
颊部恶性肿瘤	颊部恶性肿瘤	原始名称	12	admission,discharge
风湿性关节炎	风湿性关节炎	原始名称	12	admission,discharge
前庭大腺囊肿	前庭大腺囊肿	原始名称	11	admission,discharge
原发性血小板增多症	原发性血小板增多症	原始名称	11	admission,discharge
哮喘	支气管哮喘	同义词映射	11	discharge
子宫腔积液	子宫腔积液	原始名称	11	admission,discharge
小肠恶性肿瘤	小肠恶性肿瘤	原始名称	11	admission,discharge
急性胰腺炎	急性胰腺炎	原始名称	11	admission,discharge
慢性粒细胞性白血病(急性变)	慢性粒细胞白血病	同义词映射	11	admission,discharge
慢性粒细胞白血病(加速期)	慢性粒细胞白血病	基础规范化	11	admission,discharge
眩晕	眩晕	原始名称	11	admission,discharge
结缔组织病	结缔组织病	原始名称	11	discharge
胃食管反流	胃食管反流病	同义词映射	11	admission,discharge
腮腺肿瘤	腮腺肿瘤	原始名称	11	admission,discharge
腹泻	腹泻	原始名称	11	admission,discharge
腹膜后恶性肿瘤	腹膜后恶性肿瘤	原始名称	11	admission,discharge
蝶窦炎	蝶窦炎	原始名称	11	admission,discharge
门静脉瘤栓	门静脉瘤栓	原始名称	11	admission,discharge
颈淋巴结肿大	颈部淋巴结肿大	同义词映射	11	admission,discharge
额部皮肤恶性肿瘤	皮肤恶性肿瘤	同义词映射	11	admission,discharge
高血压病1级(高危)	高血压1级	同义词映射	11	admission,discharge
高血压病2级(高危)	高血压2级	同义词映射	11	admission,discharge
劳力性心绞痛	劳力性心绞痛	原始名称	10	admission,discharge
十二指肠球部溃疡	十二指肠溃疡	同义词映射	10	admission,discharge
卵巢肿瘤	卵巢肿瘤	原始名称	10	discharge
口腔肿物	口腔占位性病变	同义词映射	10	admission,discharge
复杂性尿路感染	复杂性尿路感染	原始名称	10	admission,discharge
子宫内膜样腺癌	子宫内膜样腺癌	原始名称	10	admission,discharge
子宫囊肿	子宫囊肿	原始名称	10	discharge
心动过缓	心动过缓	原始名称	10	admission,discharge
急性骨髓纤维化	急性骨髓纤维化	原始名称	10	admission,discharge
手术后恶性肿瘤化学治疗	恶性肿瘤化学治疗	治疗状态归一	10	discharge
盆腔恶性肿瘤	盆腔恶性肿瘤	原始名称	10	admission,discharge
股骨颈骨折	股骨颈骨折	原始名称	10	admission,discharge
肺源性心脏病	肺源性心脏病	原始名称	10	admission,discharge
胃下垂	胃下垂	原始名称	10	discharge
胰恶性肿瘤	胰恶性肿瘤	原始名称	10	admission,discharge
胸部恶性肿瘤	胸部恶性肿瘤	原始名称	10	admission,discharge
脑出血个人史	脑出血个人史	原始名称	10	admission,discharge
脑梗死后遗症	脑梗死后遗症	原始名称	10	admission,discharge
脑胶质细胞增生	脑胶质细胞增生	原始名称	10	admission,discharge
营养不良	营养不良	原始名称	10	admission,discharge
贲门胃底恶性肿瘤	贲门恶性肿瘤	解剖方位归一	10	admission,discharge
足部恶性黑色素瘤	恶性黑色素瘤	同义词映射	10	admission,discharge
输尿管扩张	输尿管扩张	原始名称	10	admission,discharge
阴茎恶性肿瘤	阴茎恶性肿瘤	原始名称	10	admission,discharge
颈淋巴瘤	颈淋巴瘤	原始名称	10	admission,discharge
食管裂孔疝	食管裂孔疝	原始名称	10	admission,discharge
丙型肝炎肝硬化	丙型肝炎肝硬化	原始名称	9	admission,discharge
乳腺恶性肿瘤，下部	乳腺恶性肿瘤	同义词映射	9	admission,discharge
双侧腹股沟疝	腹股沟疝	同义词映射	9	admission
吞咽困难	吞咽困难	原始名称	9	admission,discharge
基底节脑梗死	脑梗死	同义词映射	9	admission,discharge
小脑萎缩	小脑萎缩	原始名称	9	discharge
平滑肌肉瘤	平滑肌肉瘤	原始名称	9	admission,discharge
支气管肺炎	支气管肺炎	原始名称	9	admission,discharge
束支传导阻滞	束支传导阻滞	原始名称	9	admission,discharge
癫痫持续状态	癫痫持续状态	原始名称	9	admission,discharge
盆腔淋巴结继发恶性肿瘤	盆腔淋巴结继发恶性肿瘤	原始名称	9	admission,discharge
胃穿孔	胃穿孔	原始名称	9	admission,discharge
胸膜肥厚	胸膜肥厚	原始名称	9	admission,discharge
脑动脉狭窄	脑动脉狭窄	原始名称	9	admission,discharge
腮腺恶性肿瘤	腮腺恶性肿瘤	原始名称	9	admission,discharge
腹壁肿物	腹壁占位性病变	同义词映射	9	admission,discharge
荨麻疹	荨麻疹	原始名称	9	admission,discharge
髋关节置换术后	髋关节置换术后状态	同义词映射	9	admission,discharge
鼻咽恶性肿瘤个人史	鼻咽恶性肿瘤个人史	原始名称	9	admission,discharge
上颌骨恶性肿瘤	上颌骨恶性肿瘤	原始名称	8	admission,discharge
丙型肝炎病毒携带者	丙型肝炎病毒携带者	原始名称	8	admission,discharge
十二指肠球炎	十二指肠球炎	原始名称	8	admission,discharge
单侧腹股沟疝	腹股沟疝	同义词映射	8	admission,discharge
双侧大脑动脉狭窄	脑动脉狭窄	同义词映射	8	admission,discharge
大细胞髓母细胞瘤	大细胞髓母细胞瘤	原始名称	8	admission,discharge
头痛	头痛	原始名称	8	admission,discharge
女性更年期综合征	更年期综合征	同义词映射	8	discharge
子宫肿物	子宫肿物	原始名称	8	admission,discharge
宫颈术后	宫颈术后	原始名称	8	admission,discharge
急性胃肠炎	急性胃肠炎	原始名称	8	admission,discharge
急性髓样白血病	急性髓系白血病	同义词映射	8	admission,discharge
恶性肿瘤介入治疗	恶性肿瘤介入治疗	原始名称	8	admission,discharge
慢性阻塞性肺疾病II级	慢性阻塞性肺疾病	同义词映射	8	admission,discharge
枕骨恶性肿瘤	枕骨恶性肿瘤	原始名称	8	admission,discharge
椎间盘突出	椎间盘突出	原始名称	8	admission,discharge
液气胸	液气胸	原始名称	8	discharge
白细胞增多	白细胞增多	原始名称	8	admission,discharge
直肠乙状结肠交界处肿瘤	直肠乙状结肠交界处肿瘤	原始名称	8	admission,discharge
直肠炎	直肠炎	原始名称	8	admission,discharge
直肠继发恶性肿瘤	直肠继发恶性肿瘤	原始名称	8	admission,discharge
粒细胞缺乏	粒细胞缺乏	原始名称	8	admission,discharge
纵隔肿物	纵隔占位性病变	同义词映射	8	admission,discharge
肝炎后肝硬化	肝炎后肝硬化	原始名称	8	admission,discharge
肝门淋巴结继发恶性肿瘤	肝门淋巴结继发恶性肿瘤	原始名称	8	admission,discharge
肠系膜继发恶性肿瘤	肠系膜继发恶性肿瘤	原始名称	8	admission,discharge
股骨头缺血性坏死	股骨头缺血性坏死	原始名称	8	admission,discharge
股骨骨折	股骨骨折	原始名称	8	discharge
肺炎支原体性肺炎	支原体肺炎	同义词映射	8	admission,discharge
肺间质纤维化	肺间质纤维化	原始名称	8	discharge
肾衰竭	肾衰竭	原始名称	8	discharge
肾静脉栓塞	肾静脉栓塞	原始名称	8	discharge
胰腺肿物	胰腺占位性病变	同义词映射	8	admission,discharge
胸腺肿瘤	胸腺肿瘤	原始名称	8	discharge
脑血管病	脑血管病	原始名称	8	admission,discharge
腰椎继发恶性肿瘤	腰椎继发恶性肿瘤	原始名称	8	admission,discharge
腹膜后淋巴结肿大	腹膜后淋巴结肿大	原始名称	8	discharge
萎缩性胃炎	萎缩性胃炎	原始名称	8	discharge
重型地中海贫血	重型地中海贫血	原始名称	8	admission,discharge
阵发性心房颤动	心房颤动	同义词映射	8	admission,discharge
霍奇金病	霍奇金淋巴瘤	同义词映射	8	admission,discharge
颅内恶性肿瘤	颅内恶性肿瘤	原始名称	8	admission,discharge
颈椎继发恶性肿瘤	颈椎继发恶性肿瘤	原始名称	8	admission,discharge
颈部恶性肿瘤	颈部恶性肿瘤	原始名称	8	admission,discharge
颊粘膜原位癌	颊黏膜原位癌	基础规范化	8	admission,discharge
鼻窦继发恶性肿瘤	鼻窦继发恶性肿瘤	原始名称	8	admission,discharge
I型呼吸衰竭	I型呼吸衰竭	原始名称	7	admission,discharge
乳腺恶性肿瘤，内侧	乳腺恶性肿瘤	同义词映射	7	admission,discharge
乳腺继发恶性肿瘤	乳腺继发恶性肿瘤	原始名称	7	admission,discharge
凝血功能障碍	凝血功能障碍	原始名称	7	admission,discharge
喉原位癌	喉原位癌	原始名称	7	admission,discharge
地中海贫血	地中海贫血	原始名称	7	admission,discharge
循环衰竭	循环衰竭	原始名称	7	discharge
感染性休克	感染性休克	原始名称	7	admission,discharge
慢性子宫炎	宫颈炎	同义词映射	7	admission,discharge
慢性病毒性肝炎	慢性病毒性肝炎	原始名称	7	admission,discharge
气管憩室	气管憩室	原始名称	7	discharge
淀粉样变肾损害	淀粉样变肾损害	原始名称	7	admission,discharge
特发性心房纤颤	心房颤动	同义词映射	7	admission,discharge
甲周炎	甲周炎	原始名称	7	admission,discharge
疝	疝	原始名称	7	discharge
直肠息肉	直肠息肉	原始名称	7	admission,discharge
直肠术后	直肠术后	原始名称	7	discharge
纵膈肿瘤	纵膈肿瘤	原始名称	7	admission
肛周炎	肛周炎	原始名称	7	admission,discharge
肛周脓肿	肛周脓肿	原始名称	7	discharge
肛瘘	肛瘘	原始名称	7	admission,discharge
肝大	肝大	原始名称	7	discharge
肝硬化伴食管静脉曲张	肝硬化伴食管胃底静脉曲张	同义词映射	7	admission,discharge
肝细胞性黄疸	肝细胞性黄疸	原始名称	7	admission,discharge
肺动脉高压	肺动脉高压	原始名称	7	admission,discharge
肺恶性肿瘤(？)	肺恶性肿瘤	基础规范化	7	admission
肺栓塞	肺栓塞	原始名称	7	admission,discharge
肺门淋巴结继发恶性肿瘤	肺门淋巴结继发恶性肿瘤	原始名称	7	discharge
胆囊术后	胆囊术后	原始名称	7	discharge
胆囊继发恶性肿瘤	胆囊继发恶性肿瘤	原始名称	7	admission,discharge
脊髓损伤后遗症	脊髓损伤后遗症	原始名称	7	admission,discharge
腰椎病	腰椎病	原始名称	7	admission
腹股沟淋巴结肿大	腹股沟淋巴结肿大	原始名称	7	admission,discharge
自身免疫性肝炎	自身免疫性肝炎	原始名称	7	admission,discharge
软组织感染	软组织感染	原始名称	7	admission,discharge
输卵管术后	输卵管术后	原始名称	7	discharge
输尿管造口状态	输尿管造口状态	原始名称	7	admission,discharge
重型β型地中海贫血	重型β地中海贫血	同义词映射	7	admission,discharge
锁骨下静脉血栓形成	锁骨下静脉血栓形成	原始名称	7	admission
阑尾恶性肿瘤	阑尾恶性肿瘤	原始名称	7	admission,discharge
阵发性心房纤颤	阵发性心房纤颤	原始名称	7	discharge
陈旧性骨折	陈旧性骨折	原始名称	7	admission
霉菌性肺炎	真菌性肺炎	同义词映射	7	admission,discharge
非小细胞癌	非小细胞癌	原始名称	7	admission,discharge
骨髓增生异常综合征-难治性贫血伴原始细胞过多(MDS-RAEB)	骨髓增生异常综合征-难治性贫血伴原始细胞过多	基础规范化	7	admission,discharge
骨髓继发恶性肿瘤	骨髓继发恶性肿瘤	原始名称	7	admission,discharge
高胆红素血症	高胆红素血症	原始名称	7	admission,discharge
B细胞淋巴瘤	B细胞淋巴瘤	原始名称	6	admission,discharge
T-细胞大颗粒淋巴细胞白血病	T细胞大颗粒淋巴细胞白血病	同义词映射	6	admission,discharge
下肢深静脉血栓形成	下肢深静脉血栓形成	原始名称	6	discharge
主动脉瓣关闭不全	主动脉瓣关闭不全	原始名称	6	discharge
主动脉钙化	主动脉钙化	原始名称	6	admission,discharge
传染性单核细胞增多症	传染性单核细胞增多症	原始名称	6	discharge
冠状动脉供血不足	冠状动脉供血不足	原始名称	6	admission,discharge
副脾	副脾	原始名称	6	discharge
包裹性胸腔积液	胸腔积液	同义词映射	6	discharge
口腔出血	口腔出血	原始名称	6	admission,discharge
咽喉恶性肿瘤	咽喉恶性肿瘤	原始名称	6	admission,discharge
噬血细胞综合征	噬血细胞综合征	原始名称	6	admission,discharge
套细胞淋巴瘤	套细胞淋巴瘤	原始名称	6	admission,discharge
女性盆腔炎	盆腔炎	同义词映射	6	discharge
子宫术后	子宫术后	原始名称	6	discharge
心肌梗死恢复期	心肌梗死	同义词映射	6	admission,discharge
心肌病	心肌病	原始名称	6	discharge
心脏搭桥术后	冠状动脉旁路移植术后状态	同义词映射	6	discharge
急性冠脉综合征	急性冠脉综合征	原始名称	6	admission,discharge
急性化脓性扁桃体炎	急性化脓性扁桃体炎	原始名称	6	discharge
急性肾衰竭	急性肾衰竭	原始名称	6	admission,discharge
恶性胰腺瘤	恶性胰腺瘤	原始名称	6	admission,discharge
慢性心力衰竭	心力衰竭	同义词映射	6	admission,discharge
放疗后恢复期	放疗后恢复期	原始名称	6	discharge
朗格汉斯细胞组织细胞增生症	朗格汉斯细胞组织细胞增生症	原始名称	6	admission,discharge
梭形细胞肉瘤	梭形细胞肉瘤	原始名称	6	admission
浅昏迷	昏迷	同义词映射	6	admission,discharge
消化道穿孔	消化道穿孔	原始名称	6	admission,discharge
淋巴结炎	淋巴结炎	原始名称	6	admission,discharge
特发性肾积水	肾积水	同义词映射	6	admission,discharge
疝气类病	疝	同义词映射	6	admission
皮下肿物	皮下占位性病变	同义词映射	6	admission,discharge
皮肤淋巴瘤	皮肤淋巴瘤	原始名称	6	admission,discharge
神经节神经母细胞瘤	神经节神经母细胞瘤	原始名称	6	admission
神经麻痹	神经麻痹	原始名称	6	admission,discharge
糖尿病伴有并发症	糖尿病伴并发症	同义词映射	6	admission,discharge
红细胞增多	红细胞增多	原始名称	6	admission,discharge
细支气管扩张	细支气管扩张	原始名称	6	admission,discharge
结肠恶性肿瘤个人史	结肠恶性肿瘤个人史	原始名称	6	admission,discharge
结节病	结节病	原始名称	6	admission,discharge
肱骨骨折	肱骨骨折	原始名称	6	admission,discharge
肿瘤免疫治疗	恶性肿瘤免疫治疗	同义词映射	6	discharge
胃窦恶性肿瘤	胃窦恶性肿瘤	原始名称	6	admission,discharge
胆管继发恶性肿瘤	胆管继发恶性肿瘤	原始名称	6	admission,discharge
脑膜瘤	脑膜瘤	原始名称	6	admission,discharge
脾功能亢进	脾功能亢进	原始名称	6	discharge
腰椎退行性病变	腰椎退行性病变	原始名称	6	admission,discharge
腹壁疝	腹壁疝	原始名称	6	admission,discharge
舌囊肿	舌囊肿	原始名称	6	admission,discharge
蛛网膜囊肿	蛛网膜囊肿	原始名称	6	discharge
血栓性微血管病	血栓性微血管病	原始名称	6	discharge
输卵管恶性肿瘤	输卵管恶性肿瘤	原始名称	6	admission,discharge
过敏性皮炎	过敏性皮炎	原始名称	6	discharge
过敏性皮疹	过敏性皮疹	原始名称	6	discharge
阵发性房性心动过速	阵发性房性心动过速	原始名称	6	admission,discharge
降结肠乙状结肠恶性肿瘤	结肠恶性肿瘤	解剖方位归一	6	admission,discharge
额窦炎	额窦炎	原始名称	6	discharge
高血压病1级(极高危)	高血压1级	同义词映射	6	admission,discharge
高血压病2级(中危)	高血压2级	同义词映射	6	discharge
高血压脑病	高血压脑病	原始名称	6	discharge
上腔静脉梗阻	上腔静脉综合征	同义词映射	5	discharge
下消化道出血	下消化道出血	原始名称	5	discharge
乙型肝炎肝硬化	乙型肝炎肝硬化	原始名称	5	discharge
假性动脉瘤	假性动脉瘤	原始名称	5	discharge
前列腺原位癌	前列腺原位癌	原始名称	5	admission,discharge
剖宫产个人史	剖宫产个人史	原始名称	5	discharge
口咽恶性肿瘤	口咽恶性肿瘤	原始名称	5	admission,discharge
口腔炎	口腔炎	原始名称	5	discharge
口腔黏膜溃疡	口腔溃疡	同义词映射	5	discharge
呼吸道感染	呼吸道感染	原始名称	5	admission,discharge
咽炎	咽炎	原始名称	5	discharge
嗜睡	嗜睡	原始名称	5	discharge
多脏器功能衰竭	多脏器功能衰竭	原始名称	5	admission,discharge
天疱疮	天疱疮	原始名称	5	discharge
头面颈部皮肤感染	皮肤感染	同义词映射	5	admission,discharge
帕金森病	帕金森病	原始名称	5	admission,discharge
带状疱疹后神经痛	带状疱疹后神经痛	原始名称	5	admission,discharge
应激性胃炎	应激性胃炎	原始名称	5	admission,discharge
强直性脊柱炎	强直性脊柱炎	原始名称	5	admission,discharge
心功能III级(NYHA分级)	心功能III级	基础规范化	5	admission,discharge
急性尿道炎	急性尿道炎	原始名称	5	discharge
急性牙周炎	急性牙周炎	原始名称	5	discharge
急性肝衰竭	急性肝衰竭	原始名称	5	admission,discharge
慢性嗜酸性细胞白血病	慢性嗜酸性粒细胞白血病	同义词映射	5	admission,discharge
慢性尿道炎	慢性尿道炎	原始名称	5	admission,discharge
慢性白血病	慢性白血病	原始名称	5	admission,discharge
慢性肾功能不全	慢性肾功能不全	原始名称	5	discharge
梭形细胞癌	梭形细胞癌	原始名称	5	admission
槭糖尿病	槭糖尿病	原始名称	5	discharge
死亡	死亡	原始名称	5	discharge
残胃恶性肿瘤	残胃恶性肿瘤	原始名称	5	admission,discharge
炎症后肺纤维化	肺间质纤维化	同义词映射	5	discharge
皮下出血	皮下出血	原始名称	5	admission,discharge
盆腔肿物	盆腔占位性病变	同义词映射	5	admission,discharge
盆腔肿瘤	盆腔肿瘤	原始名称	5	admission,discharge
直肠粘膜炎	直肠黏膜炎	基础规范化	5	discharge
糖尿病性坏死性筋膜炎	糖尿病性坏死性筋膜炎	原始名称	5	admission
肠粘连	肠粘连	原始名称	5	admission,discharge
胃继发恶性肿瘤	胃继发恶性肿瘤	原始名称	5	admission,discharge
胃肠道间质肉瘤	胃肠道间质瘤	同义词映射	5	admission,discharge
胆囊腺肌症	胆囊腺肌症	原始名称	5	admission,discharge
胆汁淤积症	胆汁淤积症	原始名称	5	admission,discharge
胰头继发恶性肿瘤	胰头继发恶性肿瘤	原始名称	5	admission,discharge
脊髓继发恶性肿瘤	脊髓继发恶性肿瘤	原始名称	5	admission,discharge
脑梗死个人史	脑梗死个人史	原始名称	5	admission,discharge
脑梗死恢复期	脑梗死恢复期	原始名称	5	admission,discharge
腰椎压缩性骨折	腰椎压缩性骨折	原始名称	5	discharge
腰椎术后	腰椎术后	原始名称	5	discharge
腰肌劳损	腰肌劳损	原始名称	5	discharge
腰部恶性肿瘤	腰部恶性肿瘤	原始名称	5	admission,discharge
药物性肝炎伴肝功能衰竭	药物性肝衰竭	同义词映射	5	admission,discharge
药物性骨髓抑制	药物性骨髓抑制	原始名称	5	admission,discharge
蝶窦囊肿	蝶窦囊肿	原始名称	5	admission
血尿	血尿	原始名称	5	admission,discharge
间位结肠	间位结肠	原始名称	5	admission
阴道出血	阴道出血	原始名称	5	admission,discharge
青光眼	青光眼	原始名称	5	admission,discharge
频发性室性期前收缩	频发性室性期前收缩	原始名称	5	admission,discharge
食管憩室	食管憩室	原始名称	5	admission,discharge
食管静脉曲张	食管胃底静脉曲张	同义词映射	5	discharge
2型糖尿病足	糖尿病足	同义词映射	4	discharge
上肢静脉血栓形成	上肢静脉血栓形成	原始名称	4	admission,discharge
人类免疫缺陷病毒\[HIV\]病造成的淋巴造血和有关组织的其他恶性肿瘤	人类免疫缺陷病毒\病造成的淋巴造血和有关组织的其他恶性肿瘤	基础规范化	4	admission,discharge
人类免疫缺陷病毒\[HIV\]的实验室证据	人类免疫缺陷病毒\的实验室证据	基础规范化	4	discharge
会厌恶性肿瘤	会厌恶性肿瘤	原始名称	4	admission,discharge
会阴部恶性肿瘤	会阴部恶性肿瘤	原始名称	4	admission,discharge
儿童骨髓增生异常综合征	骨髓增生异常综合征	同义词映射	4	admission,discharge
先天性耳聋	先天性耳聋	原始名称	4	discharge
关节积液	关节积液	原始名称	4	admission,discharge
前列腺钙化灶	前列腺钙化灶	原始名称	4	discharge
包裹性腹腔积液	腹腔积液	同义词映射	4	admission,discharge
化学治疗	化学治疗	原始名称	4	discharge
卵巢继发性恶性肿瘤	卵巢继发恶性肿瘤	同义词映射	4	discharge
卵巢肿物	卵巢占位性病变	同义词映射	4	discharge
周围神经病	周围神经病	原始名称	4	discharge
唇结节病	唇结节病	原始名称	4	admission,discharge
外痔	外痔	原始名称	4	discharge
多部位淋巴结继发恶性肿瘤	多部位淋巴结继发恶性肿瘤	原始名称	4	discharge
失眠	失眠	原始名称	4	admission,discharge
姑息性化疗	恶性肿瘤化学治疗	同义词映射	4	admission,discharge
子宫及输卵管恶性肿瘤	子宫输卵管恶性肿瘤	解剖方位归一	4	discharge
室性自搏	室性自搏	原始名称	4	admission,discharge
急性上消化道出血	上消化道出血	同义词映射	4	admission,discharge
慢性骨髓增殖性肿瘤	骨髓增殖性肿瘤	同义词映射	4	admission,discharge
成人T-细胞白血病	成人T细胞白血病	同义词映射	4	admission,discharge
新型冠状病毒肺炎	新型冠状病毒肺炎	原始名称	4	discharge
椎体继发恶性肿瘤	椎体继发恶性肿瘤	原始名称	4	admission,discharge
椎管狭窄	椎管狭窄	原始名称	4	discharge
气管支架置入术后	气管支架置入术后状态	同义词映射	4	admission,discharge
气胸	气胸	原始名称	4	discharge
淋巴管炎	淋巴管炎	原始名称	4	discharge
甲型H1N1流行性感冒性肺炎	甲型H1N1流感肺炎	同义词映射	4	admission,discharge
男性乳腺增生	男性乳腺增生	原始名称	4	admission,discharge
瘫痪	瘫痪	原始名称	4	admission,discharge
癫痫，其他的	癫痫	基础规范化	4	admission
皮疹	皮疹	原始名称	4	admission,discharge
皮肌炎	皮肌炎	原始名称	4	discharge
直肠癌伴出血	直肠癌伴出血	原始名称	4	admission,discharge
短暂性脑缺血发作	短暂性脑缺血发作	原始名称	4	admission,discharge
神经内分泌肿瘤	神经内分泌肿瘤	原始名称	4	admission,discharge
神经性耳鸣	神经性耳鸣	原始名称	4	discharge
结核性腹膜炎	结核性腹膜炎	原始名称	4	discharge
结节性硬化型霍奇金病	结节硬化型霍奇金淋巴瘤	同义词映射	4	admission,discharge
继发性恶性肿瘤，其他特指部位的	继发恶性肿瘤	同义词映射	4	discharge
肝恶性肿瘤(？)	肝恶性肿瘤	基础规范化	4	admission
肝恶性肿瘤个人史	肝恶性肿瘤个人史	原始名称	4	admission,discharge
肝损害	肝损伤	同义词映射	4	admission,discharge
肝母细胞瘤	肝母细胞瘤	原始名称	4	admission,discharge
肝脓肿	肝脓肿	原始名称	4	discharge
肺心病	肺源性心脏病	同义词映射	4	admission
肺空洞	肺空洞	原始名称	4	admission,discharge
肾上腺肿物	肾上腺占位性病变	同义词映射	4	discharge
肾上腺肿瘤	肾上腺肿瘤	原始名称	4	admission,discharge
肾病综合征	肾病综合征	原始名称	4	discharge
肾静脉血栓形成	肾静脉血栓形成	原始名称	4	discharge
胃吻合口炎	胃吻合口炎	原始名称	4	discharge
胆囊结石伴胆囊炎	胆囊结石伴胆囊炎	原始名称	4	admission,discharge
胰头恶性肿瘤	胰头恶性肿瘤	原始名称	4	admission,discharge
胸膜炎	胸膜炎	原始名称	4	admission,discharge
胸部食管恶性肿瘤	胸部食管恶性肿瘤	原始名称	4	admission,discharge
脑血管供血不足	脑动脉供血不足	同义词映射	4	admission,discharge
脑血管狭窄	脑血管狭窄	原始名称	4	admission,discharge
脱髓鞘性脑病	脱髓鞘性脑病	原始名称	4	discharge
脾恶性肿瘤	脾恶性肿瘤	原始名称	4	admission,discharge
腰椎间盘突出症	腰椎间盘突出	同义词映射	4	admission
腹股沟继发恶性肿瘤	腹股沟继发恶性肿瘤	原始名称	4	discharge
腹膜炎	腹膜炎	原始名称	4	discharge
腹部肿物	腹部占位性病变	同义词映射	4	admission,discharge
膀胱结石	膀胱结石	原始名称	4	admission,discharge
膝关节痛	膝关节痛	原始名称	4	admission,discharge
臀部恶性肿瘤	臀部恶性肿瘤	原始名称	4	admission,discharge
艾滋病	艾滋病	原始名称	4	admission,discharge
蜂窝肺	肺间质纤维化	同义词映射	4	discharge
重度骨质疏松	骨质疏松	同义词映射	4	discharge
间变大细胞淋巴瘤	间变大细胞淋巴瘤	原始名称	4	admission,discharge
阑尾术后	阑尾术后	原始名称	4	discharge
阴道恶性肿瘤	阴道恶性肿瘤	原始名称	4	admission,discharge
阴道瘘	阴道瘘	原始名称	4	discharge
陈旧性下壁心肌梗死	陈旧性心肌梗死	同义词映射	4	discharge
降结肠恶性肿瘤	结肠恶性肿瘤	解剖方位归一	4	admission,discharge
面神经炎	面神经炎	原始名称	4	admission,discharge
鞘膜积液	鞘膜积液	原始名称	4	admission,discharge
颈内静脉血栓形成	颈内静脉血栓形成	原始名称	4	discharge
颈椎术后	颈椎术后	原始名称	4	admission,discharge
颈椎退行性病变	颈椎退行性病变	原始名称	4	discharge
颈静脉血栓形成	颈静脉血栓形成	原始名称	4	discharge
食管术后	食管术后	原始名称	4	discharge
骨髓移植术后	骨髓移植术后状态	同义词映射	4	admission,discharge
高泌乳素血症	高泌乳素血症	原始名称	4	admission,discharge
高钠血症	高钠血症	原始名称	4	admission,discharge
Ⅱ型呼吸衰竭	Ⅱ型呼吸衰竭	原始名称	3	discharge
下肢水肿	下肢水肿	原始名称	3	admission,discharge
乙肝表面抗原携带者	乙型肝炎病毒携带者	同义词映射	3	discharge
低血糖	低血糖	原始名称	3	admission,discharge
先天性心包囊肿	先天性心包囊肿	原始名称	3	discharge
全身性淋巴结增大	全身性淋巴结增大	原始名称	3	admission,discharge
前列腺术后	前列腺术后	原始名称	3	discharge
十二指肠溃疡	十二指肠溃疡	原始名称	3	discharge
卵巢术后	卵巢术后	原始名称	3	admission,discharge
外阴恶性肿瘤	外阴恶性肿瘤	原始名称	3	admission,discharge
大脑动脉狭窄脑梗死	脑梗死	同义词映射	3	admission,discharge
头颈部肿瘤	头颈部肿瘤	原始名称	3	admission,discharge
子宫平滑肌瘤	子宫平滑肌瘤	原始名称	3	admission,discharge
子宫肌壁间平滑肌瘤	子宫平滑肌瘤	同义词映射	3	admission,discharge
子宫腺肌瘤	子宫腺肌病	同义词映射	3	admission,discharge
安装心脏起搏器	心脏起搏器植入术后状态	同义词映射	3	admission,discharge
室性心律失常	室性心律失常	原始名称	3	admission,discharge
小肠肿瘤	小肠肿瘤	原始名称	3	discharge
尿潴留	尿潴留	原始名称	3	discharge
尿道炎，其他的	尿道炎	基础规范化	3	discharge
带状疱疹性神经痛	带状疱疹性神经痛	原始名称	3	admission,discharge
干燥综合征伴肺间质纤维化	干燥综合征伴肺间质纤维化	原始名称	3	admission,discharge
心肌酶谱异常	心肌酶谱异常	原始名称	3	discharge
心脏瓣膜病	心脏瓣膜病	原始名称	3	admission,discharge
急性早幼粒细胞白血病	急性早幼粒细胞白血病	原始名称	3	admission,discharge
