# 西医病症标准化列表（共 1347 条唯一标准病症）
# 格式：标准名称 | 总频次
肺结核 | 27
过敏性紫癜 | 27
急性肝衰竭 | 26
纵隔继发恶性肿瘤 | 26
肺恶性肿瘤个人史 | 26
肾上腺恶性肿瘤 | 26
肾积水伴输尿管狭窄 | 26
胃占位性病变 | 26
蛛网膜下腔出血 | 26
乳腺术后 | 25
儿童难治性血细胞减少 | 25
右束支传导阻滞 | 25
结肠息肉 | 25
肝硬化伴食管胃底静脉曲张 | 25
肝衰竭 | 25
肠道感染 | 25
锁骨上淋巴结继发恶性肿瘤 | 25
肺门淋巴结肿大 | 24
脑动脉供血不足 | 24
贫血性心脏病 | 24
食管气管瘘 | 24
骨肉瘤 | 24
前列腺肿瘤 | 23
尿道炎 | 23
巨幼细胞性贫血 | 23
心功能Ⅳ级 | 23
盆腔淋巴结肿大 | 23
腮腺恶性肿瘤个人史 | 23
腰椎骨折 | 23
腹腔肿瘤 | 23
双侧卵巢切除术后状态 | 22
子宫继发恶性肿瘤 | 22
带状疱疹后遗症 | 22
肝硬化失代偿期 | 22
肝细胞癌 | 22
贲门术后 | 22
骨髓增生异常性/骨髓增殖性肿瘤 | 22
心绞痛 | 21
牙龈出血 | 21
肝胆管扩张 | 21
乳突炎 | 20
低血压 | 20
十二指肠憩室 | 20
卵巢囊肿 | 20
口腔恶性肿瘤个人史 | 20
胃淋巴瘤 | 20
胆管占位性病变 | 20
上颌窦囊肿 | 19
乙型肝炎肝硬化 | 19
低钙血症 | 19
凝血功能异常 | 19
创伤性腰椎病 | 19
睾丸恶性肿瘤 | 19
胸壁继发恶性肿瘤 | 19
高钾血症 | 19
关节炎 | 18
冠状动脉粥样硬化 | 18
子宫腺肌病 | 18
心肌梗死 | 18
皮下继发恶性肿瘤 | 18
结肠继发恶性肿瘤 | 18
肠炎 | 18
胆囊息肉 | 18
脑动脉狭窄 | 18
腹腔感染 | 18
膀胱继发恶性肿瘤 | 18
药物性股骨头坏死 | 18
中耳炎 | 17
反流性胃炎 | 17
左束支传导阻滞 | 17
心功能Ⅱ级 | 17
支原体感染 | 17
真性红细胞增多症 | 17
肝肾功能衰竭 | 17
肺间质纤维化 | 17
肿瘤化疗个人史 | 17
胸椎骨折 | 17
脊髓灰质炎后遗症 | 17
脑出血 | 17
脓毒症 | 17
腹股沟疝 | 17
软组织恶性肿瘤 | 17
Ⅰ度房室传导阻滞 | 16
下肢恶性肿瘤 | 16
口腔恶性肿瘤 | 16
慢性前列腺炎 | 16
纵隔肿瘤 | 16
肌肉继发恶性肿瘤 | 16
肾损伤 | 16
胰腺继发恶性肿瘤 | 16
衣原体感染 | 16
高尿酸血症 | 16
鼻咽原位癌 | 16
T淋巴母细胞白血病/淋巴瘤 | 15
不完全性肠梗阻 | 15
休克 | 15
口腔感染 | 15
放射性肠炎 | 15
肝性脑病 | 15
胰管扩张 | 15
