# 西医病症标准化列表（共 1347 条唯一标准病症）
# 格式：标准名称 | 总频次
转移性乳腺癌 | 2
转移性肿瘤 | 2
输尿管狭窄 | 2
运动障碍 | 2
进行性肌营养不良 | 2
酒精性肝硬化 | 2
重叠综合征 | 2
锁骨上继发恶性肿瘤 | 2
间质性瘤 | 2
阴茎原位癌 | 2
阴茎肿物 | 2
阴道占位性病变 | 2
阴道炎 | 2
附件继发恶性肿瘤 | 2
难治性白血病 | 2
静脉曲张 | 2
面单纯疱疹 | 2
顶骨恶性肿瘤 | 2
颅咽管瘤 | 2
颈动脉粥样硬化 | 2
颌下淋巴结肿大 | 2
颌下腺恶性肿瘤 | 2
颌面部间隙感染 | 2
食管支架置入术后状态 | 2
食管梗阻 | 2
食管狭窄 | 2
食管瘘 | 2
骨髓坏死 | 2
髂骨继发恶性肿瘤 | 2
高胆固醇血症 | 2
高血压急症 | 2
鼻腔继发恶性肿瘤 | 2
Ⅱ型糖原贮积症 | 1
三叉神经炎 | 1
三叉神经痛 | 1
上皮样细胞肉瘤 | 1
上肢恶性肿瘤 | 1
上肢骨折 | 1
下肢动脉血栓形成 | 1
下肢占位性病变 | 1
下肢损伤 | 1
不全性带状疱疹 | 1
中性粒细胞减少症 | 1
乙状结肠息肉 | 1
乳腺浸润性导管癌 | 1
乳腺炎 | 1
乳腺结节 | 1
乳腺钙化 | 1
二尖瓣脱垂伴关闭不全 | 1
亚临床甲状腺功能亢进 | 1
亚急性甲状腺炎 | 1
亚急性髓系白血病 | 1
人类免疫缺陷病毒\病造成的其他类型的非霍奇金淋巴瘤 | 1
人类免疫缺陷病毒\病造成的多发性恶性肿瘤 | 1
侵袭性葡萄胎 | 1
先天性多发性骨软骨瘤 | 1
先天性子宫缺失 | 1
免疫缺陷 | 1
凝血障碍 | 1
出血 | 1
出血性脑梗死 | 1
分支传导阻滞 | 1
创伤性失明 | 1
创伤性颅内出血 | 1
创伤性颅内血肿 | 1
前体B细胞急性淋巴细胞白血病 | 1
前体T细胞急性淋巴细胞白血病 | 1
前列腺脓肿 | 1
副乳腺腺病 | 1
功能性腹泻 | 1
动脉瘤 | 1
医源性糖尿病 | 1
十二指肠术后 | 1
十二指肠肿瘤 | 1
单侧卵巢切除术后状态 | 1
单侧肺气肿 | 1
单纯性牙周炎 | 1
卵巢原位癌 | 1
卵巢恶性肿瘤 | 1
卵巢脓肿 | 1
卵巢黄体破裂 | 1
压疮 | 1
原发性干燥综合征肾损害 | 1
双侧输卵管卵巢切除术后状态 | 1
反酸 | 1
口腔黏膜出血 | 1
呼吸停止 | 1
呼吸道合胞病毒感染 | 1
喉占位性病变 | 1
嗳气 | 1
回盲部占位性病变 | 1
坏死性筋膜炎 | 1
坐骨骨折 | 1
外耳道脓肿 | 1
多处骨折 | 1
多重感染的肺炎 | 1
多重耐药菌感染 | 1
失明 | 1
头、面和颈部结缔组织和其他软组织的良性肿瘤 | 1
头晕 | 1
头部痈 | 1
妊娠合并高血压 | 1
子宫内膜原位癌 | 1
子宫内膜囊肿 | 1
子宫内膜息肉 | 1
子宫内膜样腺瘤 | 1
子宫肿瘤 | 1
宫颈切除术后状态 | 1
宫颈溃疡 | 1
宫颈肥大 | 1
小细胞癌 | 1
小脑角脂肪瘤 | 1
少尿 | 1
尿急 | 1
尿频 | 1
左后分支传导阻滞 | 1
布-加综合征 | 1
干燥综合征 | 1
应激性溃疡 | 1
应激性溃疡伴出血 | 1
弥漫性非霍奇金淋巴瘤 | 1
心力衰竭心功能IV级 | 1
心功能IV级 | 1
心律失常Ⅰ度房室传导阻滞 | 1
心律失常窦性心动过缓完全性左束支传导阻滞 | 1
心源性休克 | 1
心脏术后 | 1
心脏继发恶性肿瘤 | 1
急性B淋巴细胞白血病 | 1
急性前列腺炎 | 1
急性化脓性中耳炎 | 1
急性化脓性阑尾炎 | 1
急性双系白血病 | 1
急性呼吸衰竭 | 1
急性失血性贫血 | 1
急性支气管炎 | 1
急性淋巴细胞白血病 | 1
急性淋巴结炎 | 1
急性白血病复发 | 1
急性糜烂性胃炎 | 1
急性重症胰腺炎 | 1
慢性中耳炎 | 1
慢性再生障碍性贫血 | 1
慢性呼吸衰竭 | 1
慢性失血性贫血 | 1
慢性牙周炎 | 1
慢性粒细胞白血病t | 1
慢性肝衰竭 | 1
慢性肾炎 | 1
慢性肾脏病5期 | 1
慢性肾衰竭 | 1
扁桃体恶性肿瘤 | 1
扁桃体炎 | 1
手术后切口愈合不良 | 1
手术后切口感染 | 1
拇指离断伤 | 1
操作后伤口积液 | 1
支气管和肺原位癌 | 1
放射治疗史 | 1
新生儿幽门痉挛 | 1
月经紊乱 | 1
椎管内占位性病变 | 1
残胃出血 | 1
毛囊炎 | 1
气管狭窄 | 1
气管继发恶性肿瘤 | 1
泌尿系统疾患 | 1
流行性感冒 | 1
浸润型肺结核 | 1
消化不良 | 1
淋巴回流障碍 | 1
淋巴浆细胞淋巴瘤 | 1
淋巴瘤 | 1
淋巴结病 | 1
淋巴肉瘤 | 1
滑膜炎 | 1
牙痛 | 1
牙龈血肿 | 1
甲状腺良性肿瘤 | 1
甲癣 | 1
畸胎瘤 | 1
疱疹病毒感染 | 1
病毒感染 | 1
痛风 | 1
癌性淋巴管炎 | 1
癫痫小发作 | 1
癫痫样发作 | 1
白内障术后玻璃体综合征 | 1
白内障术后角膜病变 | 1
皮肤感染性窦道 | 1
皮肤纤维肉瘤 | 1
直肠乙状结肠炎 | 1
直肠膀胱阴道瘘 | 1
眼睑水肿 | 1
睾丸炎 | 1
神经痛 | 1
神经胶质瘤 | 1
神经节细胞瘤 | 1
窦性静止 | 1
精索鞘膜积液 | 1
紫癜 | 1
细菌性阴道炎 | 1
细菌感染 | 1
结外NK/T细胞淋巴瘤 | 1
结缔组织恶性肿瘤 | 1
结缔组织炎 | 1
结肠吻合口炎 | 1
结肠积气 | 1
结膜炎 | 1
继发性肺结核 | 1
继发性血小板减少 | 1
继发性血小板增多症 | 1
耳聋 | 1
耳部占位性病变 | 1
耳鸣 | 1
聋哑症 | 1
肋骨恶性肿瘤 | 1
肋骨肿瘤 | 1
肌张力障碍 | 1
肌腱损伤 | 1
肛门周围溃疡 | 1
肛门直肠瘘 | 1
肝囊性病 | 1
肝外胆管恶性肿瘤 | 1
肝性胸水 | 1
肝结节 | 1
肝门淋巴结肿大 | 1
肠坏死 | 1
肠破裂 | 1
肠系膜动脉栓塞伴肠坏死 | 1
股静脉血栓形成 | 1
股骨转子间骨折 | 1
肩周炎 | 1
肩胛骨恶性肿瘤 | 1
肱骨破坏 | 1
肾上腺囊肿 | 1
肾上腺炎 | 1
肾上腺皮质癌 | 1
肾盂囊肿 | 1
肾盂继发恶性肿瘤 | 1
肾结石伴输尿管结石 | 1
肾肥大 | 1
胃痛 | 1
胃肠吻合口狭窄 | 1
胃肠道继发恶性肿瘤 | 1
胃胀气 | 1
胃错构瘤 | 1
胆囊肥大 | 1
胆囊肿瘤 | 1
胆总管梗阻 | 1
胰源性腹泻 | 1
胰腺原位癌 | 1
胰腺坏死 | 1
胰腺萎缩 | 1
胸内淋巴结继发恶性肿瘤 | 1
胸椎压缩性骨折 | 1
胸腔继发恶性肿瘤 | 1
胸部损伤 | 1
胸闷 | 1
胸骨恶性肿瘤 | 1
脉络膜恶性肿瘤 | 1
脊柱肿瘤 | 1
脐部感染 | 1
脑内出血后遗症 | 1
脑出血恢复期 | 1
脑动脉粥样硬化 | 1
脑坏死 | 1
脑血管疾病 | 1
脑软化灶 | 1
脾术后 | 1
脾静脉血栓形成 | 1
腋脓肿 | 1
腮腺区占位性病变 | 1
腰椎恶性肿瘤 | 1
腰背肌筋膜炎 | 1
腹主动脉瘤 | 1
腹壁开放性伤口 | 1
腹股沟占位性病变 | 1
腹股沟术后 | 1
腹股沟直疝 | 1
腹腔囊肿 | 1
腹腔积血 | 1
腹膜后腔恶性肿瘤 | 1
腹膜恶性肿瘤 | 1
腹膜肿瘤 | 1
膀胱小肠瘘 | 1
膀胱憩室 | 1
膀胱阴道瘘 | 1
膈淋巴结继发恶性肿瘤 | 1
膜性肾病 | 1
膝关节损伤 | 1
膝关节骨髓炎 | 1
臀部占位性病变 | 1
自体造血干细胞移植状态 | 1
自发性气胸 | 1
自发性腹膜炎 | 1
良性阵发性位置性眩晕 | 1
药物性周围神经病 | 1
药物性肝炎 | 1
药物性胃炎 | 1
药物流产术后 | 1
获得性联合免疫缺陷 | 1
葡萄胎术后 | 1
蛛网膜下腔出血治疗后随诊 | 1
血小板功能不全 | 1
血性腹水 | 1
贲门溃疡 | 1
躯干占位性病变 | 1
软骨良性肿瘤 | 1
输卵管绝育 | 1
输液港取出术后 | 1
过敏性紫癜性肾炎 | 1
造血干细胞移植状态 | 1
锁骨上淋巴结肿大 | 1
锁骨下淋巴结继发恶性肿瘤 | 1
锁骨继发恶性肿瘤 | 1
门脉高压性胃病 | 1
闭合性颅脑损伤 | 1
阴道前后壁脱垂 | 1
阴道溃疡 | 1
阵发性室性心动过速 | 1
阿尔茨海默病 | 1
附件占位性病变 | 1
陈旧性脑出血 | 1
陈旧性腰椎骨折 | 1
难治性抑郁症 | 1
静脉曲张术后 | 1
面部软组织挫伤 | 1
颈椎椎管狭窄 | 1
颈部淋巴水肿 | 1
颈部淋巴结炎 | 1
颌下淋巴结继发恶性肿瘤 | 1
频发性房性期前收缩 | 1
风湿病 | 1
食管原位癌 | 1
食管息肉 | 1
食管恶性肿瘤 | 1
食管纵隔瘘 | 1
食管继发恶性肿瘤 | 1
食管胸腔瘘 | 1
骨和骨髓继发恶性肿瘤 | 1
骨结核 | 1
骨质增生 | 1
骨软骨瘤 | 1
骨髓抑制性贫血 | 1
骨髓炎 | 1
骨髓移植排斥反应 | 1
骨髓纤维化 | 1
骶骨恶性肿瘤 | 1
骶骨骨折 | 1
髋关节痛 | 1
髋关节积液 | 1
髋部占位性病变 | 1
髓样肉瘤 | 1
高乳酸血症 | 1
高同型半胱氨酸血症 | 1
高甘油三酯血症 | 1
高磷血症 | 1
高血压性脑出血 | 1
黑色素痣 | 1
鼻损伤 | 1
鼻真菌病 | 1
鼻腔淋巴瘤 | 1
鼻骨骨折 | 1
