# 知识图谱疾病/病症列表 - 中医（共 1027 条）
# 格式：名称 | 来源 | 频次
肺占位 肺脾两虚证 | admission | 1
肺炎 | discharge | 1
肺癌 肺脾气虚证 | admission | 1
肺积 气滞血瘀证 | admission | 1
肺积 痰淤互结证 | admission | 1
肺积 痰淤阻肺 | admission | 1
肺积 痰湿蕴肺证 | admission | 1
肺积 痰瘀互 | admission | 1
肺积 痰瘀互二姐 | admission | 1
肺积 痰瘀互结证 1 | admission | 1
肺积 痰瘀阻滞证 | admission | 1
肺积 肺气不足证 | admission | 1
肺积 肺脾两虚 | admission | 1
肺积 肺脾气虚 | admission | 1
肺积 肺脾气虚兼血瘀 | admission | 1
肺积 肺郁痰瘀证 | admission | 1
肺积 脾肺气虚证 | admission | 1
肺积 阴虚毒瘀 | admission | 1
肺积病 痰瘀互结 | admission | 1
肺积病 肺气亏虚证 | admission | 1
肺肿瘤 肺脾气虚 | admission | 1
肺胀 | admission | 1
肺胀 痰浊壅肺证 | admission | 1
肺证类 | discharge | 1
肺部感染 | admission | 1
肾囊肿 肾虚血瘀证 | admission | 1
肾恶性肿瘤 气血亏虚 | admission | 1
肾恶性肿瘤 气血双亏 | admission | 1
肾病 | discharge | 1
肾盂肿瘤 | discharge | 1
肾积 气血亏虚 | admission | 1
肾衰 脾肾气虚证 | admission | 1
肾衰病 | discharge | 1
胁痛 | discharge | 1
胁痛 肝胆湿热 | admission | 1
胃占位 正虚瘀结证 | admission | 1
胃恶性肿瘤 脾虚痰湿证 | admission | 1
胃痞 痰湿内盛 | admission | 1
胃痞病 脾胃气虚证 | admission | 1
胃痞病 脾胃虚弱证 | admission | 1
胃痞病 阴虚内热证 | admission | 1
胃癌 正虚毒结证 | admission | 1
胃癌 痰瘀互结证 | admission | 1
胃积 | admission | 1
胃积 正虚瘀结证 | admission | 1
胃肿瘤 气滞血瘀证 | admission | 1
胃脘痛 气滞血瘀证 | admission | 1
胆囊占位 | discharge | 1
胆囊癌 | admission | 1
胆囊癌 热毒内蕴证 | admission | 1
胆囊肿瘤 脾胃虚弱证 | admission | 1
背部肿物 正虚毒结型 | admission | 1
胰癌 | discharge | 1
胰癌 湿热瘀阻证 | admission | 1
胰腺瘤 | discharge | 1
胰腺肿瘤 正虚毒结型 | admission | 1
胸痛 | discharge | 1
胸痹 心血淤阻 | admission | 1
胸痹 心血瘀阻证 | admission | 1
胸痹 痰浊阻肺证 | admission | 1
胸痹 瘀阻心脉 | admission | 1
胸痹心痛 | admission | 1
胸痹心痛 心气不足证 | admission | 1
胸痹心痛 气滞胸膈证 | admission | 1
胸痹心痛 气虚血瘀证 | admission | 1
胸痹心痛 瘀血痹阻证 | admission | 1
胸痹心痛病 | admission | 1
胸痹心痛病 气虚血瘀证 | admission | 1
脊索瘤 | discharge | 1
脊髓痨 | discharge | 1
脑恶性肿瘤 | discharge | 1
脑积 | admission | 1
脑积 瘀血阻络证 | admission | 1
脑积水 | discharge | 1
脱病 | discharge | 1
腰痛 寒湿痹阻证 | admission | 1
腰痛-寒湿痹阻证 | admission | 1
腰痛病 气滞血瘀证 | admission | 1
腹水 | discharge | 1
腹痛 肝郁气滞证 | admission | 1
腹痛 脾胃气虚证 | admission | 1
膀胱占位性病变 | discharge | 1
膈噎 正虚毒结证 | admission | 1
膈噎 气阴两虚证 | admission | 1
膈噎 痰瘀互结证 | admission | 1
色素痣 | admission | 1
萎证 肝肾不足 | admission | 1
葡萄胎 正虚毒结证 | admission | 1
虚劳 气血两虚证 | admission | 1
虚劳 气血亏虚症 | admission | 1
虚劳 气阴两虚证 | admission | 1
虚劳 肾阴虚证 | admission | 1
虚劳 脾肾两虚 | admission | 1
虚劳 脾胃虚弱证 | admission | 1
血小板减少 | discharge | 1
血淋 肺热壅盛 | admission | 1
血淋病 | discharge | 1
血症 心脾两虚证 | admission | 1
血症 气不摄血 | admission | 1
血症 气血瘀滞证 | admission | 1
血症 气阴两虚 | admission | 1
血症 肝肾阴虚证 | admission | 1
血症 肾阴虚型 | admission | 1
血症气 虚亏虚型 | admission | 1
血瘀证 | discharge | 1
血癌 气血亏虚 | admission | 1
血癌(正虚毒蕴) | admission | 1
血癌(正虚毒蕴证) | admission | 1
血癌(气血亏虚证) | admission | 1
血证 气滞血瘀 | admission | 1
血证 气血亏 | admission | 1
血证 痰瘀互结 | admission | 1
血证 肝肾阴虚 | admission | 1
血证 肾阴虚证 | admission | 1
血证 脾不统血 | admission | 1
血证 血热妄行 | admission | 1
血证类 气血两虚 | admission | 1
血证类 瘀血阻滞 | admission | 1
血证类 脾肾阳虚之证 | admission | 1
贫血 气不摄血证 | admission | 1
贫血 气血亏虚 | admission | 1
软骨肉瘤 | admission | 1
阴挺 | admission | 1
阴疮 正虚毒结 | admission | 1
阴道残端癌 正虚瘀结证 | admission | 1
附骨疽 | discharge | 1
附骨疽病 | discharge | 1
面瘫病 风邪阻络 | admission | 1
颊疡 痰瘀互结证 | admission | 1
颊粘膜癌 | discharge | 1
颤病 风阳内动 | admission | 1
颤证 风阳内动 | admission | 1
食管恶性肿瘤 | discharge | 1
食管癌 痰瘀互结证 | admission | 1
骨疽病 气血瘀阻证 | admission | 1
骨痹 湿热蕴结证 | admission | 1
骨痹 肝肾亏虚证 | admission | 1
骨痹 脾肾阳虚 | admission | 1
骨瘤 脾肾两虚 | admission | 1
骨髓增生异常 | discharge | 1
骨髓增生异常 气血亏虚证 | admission | 1
骨髓增生异常综合征 | discharge | 1
骨髓瘤 正虚毒结证 | admission | 1
髓劳 气血两虚型 | admission | 1
髓劳 气血瘀结证 | admission | 1
髓劳 脾不统血 | admission | 1
髓劳病 肾阴虚证 | admission | 1
髓系肉瘤 | admission | 1
鹦瘤 | admission | 1
黄疸 气滞血瘀 | admission | 1
黄疸 气阴两虚 | admission | 1
黄疸 湿重于热证 | admission | 1
黄疸 阳黄 湿重于热证 | admission | 1
黄疸 阳黄 热重于湿证 | admission | 1
黄耳伤寒病 | discharge | 1
鼻咽肿物 | discharge | 1
鼻岩 | discharge | 1
鼻渊病 | discharge | 1
鼻窦癌 | discharge | 1
鼻衄病 | discharge | 1
