# 知识图谱疾病/病症列表 - 西医（共 1596 条）
# 格式：名称 | 来源 | 频次
慢性淋巴细胞白血病 | admission,discharge | 54
腹膜后继发恶性肿瘤 | admission,discharge | 54
乳腺增生 | admission,discharge | 52
双侧乳腺恶性肿瘤 | admission,discharge | 52
脑膜继发恶性肿瘤 | admission,discharge | 52
滤泡性淋巴瘤 | admission,discharge | 51
肾占位性病变 | admission,discharge | 51
胃息肉 | admission,discharge | 50
肺肿物 | admission,discharge | 49
上腔静脉综合征 | admission,discharge | 48
下肢静脉曲张 | admission,discharge | 48
反流性食管炎 | admission,discharge | 48
不稳定型心绞痛 | admission,discharge | 47
呼吸困难 | admission,discharge | 47
胆囊切除术后状态 | admission,discharge | 47
胆管扩张 | admission,discharge | 47
恶性肿瘤维持性化学治疗 | admission,discharge | 46
纵隔恶性肿瘤 | admission,discharge | 46
感染性发热 | admission,discharge | 45
筛窦炎 | admission,discharge | 45
舌恶性肿瘤 | admission,discharge | 45
阑尾炎 | admission,discharge | 45
骨髓增生异常性贫血 | admission,discharge | 45
心功能Ⅲ级 | admission,discharge | 44
白内障 | admission,discharge | 43
皮肤恶性肿瘤 | admission,discharge | 43
胆囊占位性病变 | admission,discharge | 43
腹腔淋巴结肿大 | admission,discharge | 43
骨髓抑制 | admission,discharge | 43
局部淋巴结肿大 | admission,discharge | 42
左前分支传导阻滞 | admission,discharge | 42
恶性肿瘤 | admission,discharge | 42
肝胆管恶性肿瘤 | admission,discharge | 42
阵发性睡眠性血红蛋白尿 | admission,discharge | 42
前列腺囊肿 | admission,discharge | 41
化疗后恢复期 | admission,discharge | 41
电解质紊乱 | admission,discharge | 41
腋窝淋巴结继发恶性肿瘤 | admission,discharge | 41
完全性右束支传导阻滞 | admission,discharge | 40
脑占位性病变 | admission,discharge | 40
精神分裂症 | admission,discharge | 39
糜烂性胃炎 | admission,discharge | 39
肿瘤性病理性骨折 | admission,discharge | 39
乙状结肠恶性肿瘤 | admission,discharge | 38
前列腺炎 | admission,discharge | 38
慢性肺源性心脏病 | admission,discharge | 37
慢性阻塞性肺疾病I级 | discharge | 37
放射性肺炎 | admission,discharge | 37
脑出血后遗症 | admission,discharge | 37
认知障碍 | admission,discharge | 37
食管炎 | admission,discharge | 37
十二指肠恶性肿瘤 | admission,discharge | 36
干燥综合征性中枢神经损害 | admission,discharge | 36
淋巴结恶性肿瘤 | admission,discharge | 36
肺真菌感染 | admission,discharge | 36
血糖升高 | admission,discharge | 36
银屑病 | admission,discharge | 36
静脉血栓形成 | admission,discharge | 36
骨质破坏 | admission,discharge | 36
肺水肿 | admission,discharge | 35
颈椎间盘突出 | admission,discharge | 35
横结肠恶性肿瘤 | admission,discharge | 34
特发性血小板减少性紫癜 | admission,discharge | 34
轻度贫血 | admission,discharge | 34
颈部淋巴结继发恶性肿瘤 | admission,discharge | 34
食管胃连接处恶性肿瘤 | admission,discharge | 34
甲状腺功能亢进症 | admission,discharge | 33
类风湿性关节炎 | admission,discharge | 33
胰腺恶性肿瘤个人史 | admission,discharge | 33
高脂血症 | admission,discharge | 33
鼻咽恶性肿瘤 | admission,discharge | 33
慢性骨髓增殖性疾病 | admission,discharge | 32
泌尿道感染 | admission,discharge | 32
胃肠功能紊乱 | admission,discharge | 32
陈旧性脑梗死 | admission,discharge | 32
宫颈囊肿 | admission,discharge | 31
间质性肺炎 | admission,discharge | 31
高血压2级 | admission,discharge | 31
后循环缺血 | admission,discharge | 30
房室传导阻滞 | admission,discharge | 30
纵隔淋巴结肿大 | admission,discharge | 30
脑水肿 | admission,discharge | 30
食管肿物 | admission,discharge | 30
慢性阻塞性肺病伴有急性加重 | admission,discharge | 29
涎腺肿物 | admission,discharge | 29
脾囊肿 | admission,discharge | 29
风湿性心脏病 | admission,discharge | 29
上消化道出血 | admission,discharge | 28
白血病 | admission,discharge | 28
肾盂恶性肿瘤 | admission,discharge | 28
胃溃疡 | admission,discharge | 28
颅内占位性病变 | admission,discharge | 28
慢性气管炎 | admission,discharge | 27
支气管炎 | admission,discharge | 27
皮肤感染 | admission,discharge | 27
纯红细胞再生障碍性贫血 | admission,discharge | 27
肺结核 | admission,discharge | 27
鼻窦炎 | admission,discharge | 27
纵隔继发性恶性肿瘤 | admission,discharge | 26
肺恶性肿瘤个人史 | admission,discharge | 26
肾上腺恶性肿瘤 | admission,discharge | 26
肾积水伴输尿管狭窄 | admission,discharge | 26
胃占位性病变 | admission,discharge | 26
蛛网膜下出血 | admission,discharge | 26
乳腺术后 | admission,discharge | 25
儿童难治性血细胞减少 | admission,discharge | 25
右束支传导阻滞 | admission,discharge | 25
周围性面神经麻痹 | admission,discharge | 25
肝衰竭 | admission,discharge | 25
肠道感染 | admission,discharge | 25
胰腺占位性病变 | admission,discharge | 25
过敏性紫癜 | admission,discharge | 25
锁骨上淋巴结继发恶性肿瘤 | admission,discharge | 25
为肿瘤化学治疗疗程 | admission,discharge | 24
子宫内膜癌 | admission | 24
结肠息肉 | admission,discharge | 24
肺门淋巴结肿大 | admission,discharge | 24
贫血性心脏病 | admission,discharge | 24
食管气管瘘 | admission,discharge | 24
前列腺肿瘤 | admission,discharge | 23
多发性脑梗死 | admission,discharge | 23
心功能Ⅳ级 | discharge | 23
恶性胃肠道间质性瘤 | admission,discharge | 23
盆腔淋巴结肿大 | admission,discharge | 23
腮腺恶性肿瘤个人史 | admission,discharge | 23
腰椎骨折 | admission,discharge | 23
腹腔肿瘤 | admission,discharge | 23
骨肉瘤 | admission | 23
双侧卵巢切除术后状态 | admission,discharge | 22
子宫继发恶性肿瘤 | admission,discharge | 22
巨幼细胞性贫血 | admission,discharge | 22
带状疱疹后遗症 | admission,discharge | 22
肝硬化失代偿期 | admission,discharge | 22
肝细胞癌 | admission,discharge | 22
舌根恶性肿瘤 | admission,discharge | 22
贲门术后 | admission,discharge | 22
骨髓增生异常性/骨髓增殖性肿瘤(不能分型) | admission,discharge | 22
高血压病3级(高危) | admission,discharge | 22
心绞痛 | admission,discharge | 21
急性肝功能衰竭 | admission,discharge | 21
牙龈出血 | admission,discharge | 21
肝胆管扩张 | admission,discharge | 21
腹股沟恶性黑色素瘤 | admission,discharge | 21
陈旧性肋骨骨折 | admission,discharge | 21
乳突炎 | admission,discharge | 20
低血压 | admission,discharge | 20
十二指肠憩室 | admission,discharge | 20
卵巢囊肿 | admission,discharge | 20
口腔恶性肿瘤个人史 | admission,discharge | 20
尿道炎 | admission,discharge | 20
胃淋巴瘤 | admission,discharge | 20
胃食管连接部继发恶性肿瘤 | admission,discharge | 20
胆管占位性病变 | admission,discharge | 20
脑动脉供血不足 | admission,discharge | 20
上颌窦囊肿 | admission,discharge | 19
低钙血症 | discharge | 19
凝血功能异常 | admission,discharge | 19
创伤性腰椎病 | discharge | 19
局限性淋巴结增大 | admission,discharge | 19
气管炎 | admission,discharge | 19
睾丸恶性肿瘤 | admission,discharge | 19
胸壁继发恶性肿瘤 | admission,discharge | 19
隐匿性冠状动脉粥样硬化性心脏病 | discharge | 19
高钾血症 | admission,discharge | 19
关节炎 | admission,discharge | 18
冠状动脉粥样硬化 | discharge | 18
皮下继发恶性肿瘤 | admission,discharge | 18
