standard_name	frequency	icd10_code	icd10_name	match_method	match_score
低体温	2			未匹配	0.0
低氧血症	2			未匹配	0.0
侵袭性NK细胞白血病	2			未匹配	0.0
创伤性脑梗死	2			未匹配	0.0
前列腺占位性病变	2			未匹配	0.0
动态未定或动态未知的肿瘤	2			未匹配	0.0
喉肿瘤	2			未匹配	0.0
壶腹部肿瘤	2			未匹配	0.0
多处损伤	2			未匹配	0.0
大细胞神经内分泌癌	2			未匹配	0.0
妊娠	2			未匹配	0.0
导管相关性尿路感染	2			未匹配	0.0
小脑肿瘤	2			未匹配	0.0
带状疱疹伴有其他并发症	2			未匹配	0.0
异常子宫出血	2			未匹配	0.0
恶心呕吐	2			未匹配	0.0
慢性肾衰竭合并贫血	2			未匹配	0.0
手术后胃瘫综合征	2			未匹配	0.0
扩张型心肌病	2			未匹配	0.0
新型冠状病毒感染	2			未匹配	0.0
枕叶出血	2			未匹配	0.0
瓦登伯格综合征	2			未匹配	0.0
甲状腺功能亢进症个人史	2			未匹配	0.0
甲状腺占位性病变	2			未匹配	0.0
白细胞异常	2			未匹配	0.0
皮肤占位性病变	2			未匹配	0.0
盆腔炎性疾病	2			未匹配	0.0
结肠原位癌	2			未匹配	0.0
结肠术后	2			未匹配	0.0
肝错构瘤	2			未匹配	0.0
股骨远端骨折	2			未匹配	0.0
肺性脑病	2			未匹配	0.0
肺术后	2			未匹配	0.0
肾上腺术后	2			未匹配	0.0
肾上腺皮质功能减退症	2			未匹配	0.0
肾上腺结节性增生	2			未匹配	0.0
肾术后	2			未匹配	0.0
肾积水伴输尿管结石	2			未匹配	0.0
胆管支架置入术后状态	2			未匹配	0.0
脊柱血管瘤	2			未匹配	0.0
脑肿瘤个人史	2			未匹配	0.0
腹主动脉夹层	2			未匹配	0.0
腹胀	2			未匹配	0.0
膀胱周围炎	2			未匹配	0.0
血管性紫癜	2			未匹配	0.0
重叠综合征	2			未匹配	0.0
间质性瘤	2			未匹配	0.0
阴道占位性病变	2			未匹配	0.0
附件继发恶性肿瘤	2			未匹配	0.0
难治性白血病	2			未匹配	0.0
食管支架置入术后状态	2			未匹配	0.0
Ⅱ型糖原贮积症	1			未匹配	0.0
上皮样细胞肉瘤	1			未匹配	0.0
上肢骨折	1			未匹配	0.0
下肢占位性病变	1			未匹配	0.0
下肢损伤	1			未匹配	0.0
不全性带状疱疹	1			未匹配	0.0
中性粒细胞减少症	1			未匹配	0.0
乳腺浸润性导管癌	1			未匹配	0.0
乳腺结节	1			未匹配	0.0
乳腺钙化	1			未匹配	0.0
二尖瓣脱垂伴关闭不全	1			未匹配	0.0
亚急性髓系白血病	1			未匹配	0.0
人类免疫缺陷病毒\病造成的其他类型的非霍奇金淋巴瘤	1			未匹配	0.0
人类免疫缺陷病毒\病造成的多发性恶性肿瘤	1			未匹配	0.0
侵袭性葡萄胎	1			未匹配	0.0
凝血障碍	1			未匹配	0.0
出血性脑梗死	1			未匹配	0.0
分支传导阻滞	1			未匹配	0.0
创伤性颅内血肿	1			未匹配	0.0
前体B细胞急性淋巴细胞白血病	1			未匹配	0.0
前体T细胞急性淋巴细胞白血病	1			未匹配	0.0
前列腺脓肿	1			未匹配	0.0
医源性糖尿病	1			未匹配	0.0
十二指肠术后	1			未匹配	0.0
单侧卵巢切除术后状态	1			未匹配	0.0
单侧肺气肿	1			未匹配	0.0
单纯性牙周炎	1			未匹配	0.0
卵巢原位癌	1			未匹配	0.0
压疮	1			未匹配	0.0
原发性干燥综合征肾损害	1			未匹配	0.0
双侧输卵管卵巢切除术后状态	1			未匹配	0.0
反酸	1			未匹配	0.0
口腔黏膜出血	1			未匹配	0.0
呼吸停止	1			未匹配	0.0
呼吸道合胞病毒感染	1			未匹配	0.0
喉占位性病变	1			未匹配	0.0
嗳气	1			未匹配	0.0
回盲部占位性病变	1			未匹配	0.0
坏死性筋膜炎	1			未匹配	0.0
多处骨折	1			未匹配	0.0
多重感染的肺炎	1			未匹配	0.0
多重耐药菌感染	1			未匹配	0.0
头、面和颈部结缔组织和其他软组织的良性肿瘤	1			未匹配	0.0
头晕	1			未匹配	0.0
子宫肿瘤	1			未匹配	0.0
宫颈切除术后状态	1			未匹配	0.0
小脑角脂肪瘤	1			未匹配	0.0
尿急	1			未匹配	0.0
尿频	1			未匹配	0.0
左后分支传导阻滞	1			未匹配	0.0
布-加综合征	1			未匹配	0.0
弥漫性非霍奇金淋巴瘤	1			未匹配	0.0
心力衰竭心功能IV级	1			未匹配	0.0
心功能IV级	1			未匹配	0.0
心律失常Ⅰ度房室传导阻滞	1			未匹配	0.0
心律失常窦性心动过缓完全性左束支传导阻滞	1			未匹配	0.0
急性双系白血病	1			未匹配	0.0
慢性肝衰竭	1			未匹配	0.0
慢性肾脏病5期	1			未匹配	0.0
慢性肾衰竭	1			未匹配	0.0
手术后切口愈合不良	1			未匹配	0.0
拇指离断伤	1			未匹配	0.0
操作后伤口积液	1			未匹配	0.0
支气管和肺原位癌	1			未匹配	0.0
放射治疗史	1			未匹配	0.0
月经紊乱	1			未匹配	0.0
泌尿系统疾患	1			未匹配	0.0
淋巴浆细胞淋巴瘤	1			未匹配	0.0
淋巴结病	1			未匹配	0.0
牙痛	1			未匹配	0.0
牙龈血肿	1			未匹配	0.0
癫痫样发作	1			未匹配	0.0
白内障术后玻璃体综合征	1			未匹配	0.0
白内障术后角膜病变	1			未匹配	0.0
窦性静止	1			未匹配	0.0
结外NK/T细胞淋巴瘤	1			未匹配	0.0
结肠吻合口炎	1			未匹配	0.0
继发性肺结核	1			未匹配	0.0
耳部占位性病变	1			未匹配	0.0
肛门周围溃疡	1			未匹配	0.0
肛门直肠瘘	1			未匹配	0.0
肝囊性病	1			未匹配	0.0
股骨转子间骨折	1			未匹配	0.0
肩周炎	1			未匹配	0.0
肱骨破坏	1			未匹配	0.0
肾结石伴输尿管结石	1			未匹配	0.0
肾肥大	1			未匹配	0.0
胃痛	1			未匹配	0.0
胃胀气	1			未匹配	0.0
胃错构瘤	1			未匹配	0.0
胆囊肿瘤	1			未匹配	0.0
胰腺原位癌	1			未匹配	0.0
胸椎压缩性骨折	1			未匹配	0.0
胸部损伤	1			未匹配	0.0
脊柱肿瘤	1			未匹配	0.0
脑出血恢复期	1			未匹配	0.0
脾术后	1			未匹配	0.0
腋脓肿	1			未匹配	0.0
腮腺区占位性病变	1			未匹配	0.0
腹壁开放性伤口	1			未匹配	0.0
腹股沟占位性病变	1			未匹配	0.0
腹股沟术后	1			未匹配	0.0
膀胱小肠瘘	1			未匹配	0.0
膝关节骨髓炎	1			未匹配	0.0
臀部占位性病变	1			未匹配	0.0
自体造血干细胞移植状态	1			未匹配	0.0
良性阵发性位置性眩晕	1			未匹配	0.0
药物流产术后	1			未匹配	0.0
获得性联合免疫缺陷	1			未匹配	0.0
葡萄胎术后	1			未匹配	0.0
蛛网膜下腔出血治疗后随诊	1			未匹配	0.0
血小板功能不全	1			未匹配	0.0
输卵管绝育	1			未匹配	0.0
输液港取出术后	1			未匹配	0.0
造血干细胞移植状态	1			未匹配	0.0
闭合性颅脑损伤	1			未匹配	0.0
阿尔茨海默病	1			未匹配	0.0
附件占位性病变	1			未匹配	0.0
陈旧性脑出血	1			未匹配	0.0
难治性抑郁症	1			未匹配	0.0
食管纵隔瘘	1			未匹配	0.0
食管胸腔瘘	1			未匹配	0.0
骨髓移植排斥反应	1			未匹配	0.0
髋部占位性病变	1			未匹配	0.0
髓样肉瘤	1			未匹配	0.0
高乳酸血症	1			未匹配	0.0
高甘油三酯血症	1			未匹配	0.0
鼻真菌病	1			未匹配	0.0
鼻腔淋巴瘤	1			未匹配	0.0
腹腔继发恶性肿瘤	165	C79.802	腹腔继发性恶性肿瘤	模糊匹配	94.1
胃食管连接处恶性肿瘤	83	C16.002	食管贲门连接处恶性肿瘤	模糊匹配	85.7
腹膜后继发恶性肿瘤	54	C78.603	腹膜后腔继发恶性肿瘤	模糊匹配	94.7
不稳定型心绞痛	47	I20.001	不稳定性心绞痛	模糊匹配	85.7
左前分支传导阻滞	42	I44.401	左前分枝传导阻滞	模糊匹配	87.5
肺真菌感染	37	B49.013	肺部真菌感染	模糊匹配	90.9
淋巴结恶性肿瘤	36	C77.901	淋巴结继发恶性肿瘤	模糊匹配	87.5
食管胃连接处恶性肿瘤	34	C16.002	食管贲门连接处恶性肿瘤	模糊匹配	85.7
类风湿关节炎	33	M06.991	类风湿性关节炎	模糊匹配	92.3
胰腺占位性病变	33	K86.902	胰占位性病变	模糊匹配	92.3
慢性粒单核细胞白血病	30	C92.701	慢性粒单核细胞性白血病	模糊匹配	95.2
肝硬化伴食管胃底静脉曲张	25	K74.611	肝硬化伴食道.胃底静脉曲张	模糊匹配	88.0
巨幼细胞性贫血	23	D53.101	巨幼红细胞性贫血	模糊匹配	93.3
胃淋巴瘤	20	C85.015	胃淋巴肉瘤	模糊匹配	88.9
胆管占位性病变	20	K82.902	胆囊占位性病变	模糊匹配	85.7
胸壁继发恶性肿瘤	19	C79.823	胸壁继发性恶性肿瘤	模糊匹配	94.1
皮下继发恶性肿瘤	18	C79.203	皮肤继发恶性肿瘤	模糊匹配	87.5
脓毒症	17	A41.902	脓毒血症	模糊匹配	85.7
软组织恶性肿瘤	17	D48.109	软组织交界恶性肿瘤	模糊匹配	87.5
胸椎继发恶性肿瘤	15	C78.201	胸膜继发恶性肿瘤	模糊匹配	87.5
急性单核细胞白血病	14	M98611/3	急性髓单核细胞白血病	模糊匹配	94.7
门静脉高压	14	K76.602	门脉高压	模糊匹配	88.9
阴囊继发恶性肿瘤	14	C78.802	胆囊继发恶性肿瘤	模糊匹配	87.5
放疗后骨髓抑制	13	D75.805	化疗后骨髓抑制	模糊匹配	85.7
腹腔淋巴瘤	12	C85.005	腹腔淋巴肉瘤	模糊匹配	90.9
原发性血小板增多症	11	D47.301	特发性血小板增多症	模糊匹配	88.9
口腔占位性病变	10	J98.901	胸腔占位性病变	模糊匹配	85.7
脑胶质细胞增生	10	G93.809	脑皮质胶质细胞增生	模糊匹配	87.5
支原体肺炎	8	J15.702	支原体性肺炎	模糊匹配	90.9
腰椎继发恶性肿瘤	8	C79.204	腰部继发恶性肿瘤	模糊匹配	87.5
颈椎继发恶性肿瘤	8	C79.508	椎体继发恶性肿瘤	模糊匹配	87.5
鼻窦继发恶性肿瘤	8	C31.901	鼻窦恶性肿瘤	模糊匹配	85.7
乳腺继发恶性肿瘤	7	C79.815	乳腺继发性恶性肿瘤	模糊匹配	94.1
急性早幼粒细胞白血病	7	M98660/3	急性早幼粒细胞性白血病	模糊匹配	95.2
主动脉瓣关闭不全	6	I35.102	主动脉瓣闭锁不全	模糊匹配	87.5
朗格汉斯细胞组织细胞增生症	6	D76.010	朗格汉斯细胞组织细胞增多症	模糊匹配	92.3
胆管继发恶性肿瘤	6	C78.801	胆管继发性恶性肿瘤	模糊匹配	94.1
腰椎退行性病变	6	M51.303	腰椎退行性变	模糊匹配	92.3
高血压脑病	6	I67.401	高血压性脑病	模糊匹配	90.9
帕金森病	5	G20  02	帕金森氏病	模糊匹配	88.9
盆腔占位性病变	5	J98.901	胸腔占位性病变	模糊匹配	85.7
胃继发恶性肿瘤	5	C78.807	胃继发性恶性肿瘤	模糊匹配	93.3
胰头继发恶性肿瘤	5	C78.809	胰腺继发恶性肿瘤	模糊匹配	87.5
频发性室性期前收缩	5	I49.301	频发性室性期外收缩	模糊匹配	88.9
食管胃底静脉曲张破裂出血	5	I85.001	食管静脉曲张破裂出血	模糊匹配	90.9
唇结节病	4	D86.901	结节病	模糊匹配	85.7
糖尿病足	4	E14.901	糖尿病	模糊匹配	85.7
肾上腺占位性病变	4	D41.002	肾占位性病变	模糊匹配	85.7
腹股沟继发恶性肿瘤	4	C79.840	腹股沟继发性恶性肿瘤	模糊匹配	94.7
颈椎退行性病变	4	M51.304	颈椎退行性变	模糊匹配	92.3
颈部占位性病变	4	D48.012	颈椎占位性病变	模糊匹配	85.7
法特壶腹恶性肿瘤	3	C24.101	法特氏壶腹恶性肿瘤	模糊匹配	94.1
糖尿病肾病	3	E14.203+ N08.303*	糖尿病性肾病	模糊匹配	90.9
肺原位癌	3	M80100/2	原位癌	模糊匹配	85.7
胃原位癌	3	M80100/2	原位癌	模糊匹配	85.7
自身免疫性脑炎	3	K75.809	自身免疫性肝炎	模糊匹配	85.7
贲门继发恶性肿瘤	3	C16.001	贲门恶性肿瘤	模糊匹配	85.7
颅内继发恶性肿瘤	3	C71.902	颅内恶性肿瘤	模糊匹配	85.7
回盲部淋巴瘤	2	C85.914	回盲部恶性淋巴瘤	模糊匹配	85.7
慢性单核细胞白血病	2	C93.101	慢性单核细胞性白血病	模糊匹配	94.7
椎管内恶性肿瘤	2	D32.904	椎管内良性肿瘤	模糊匹配	85.7
浆细胞白血病	2	C90.101	浆细胞性白血病	模糊匹配	92.3
糖尿病酮症	2	E14.102	糖尿病性酮症	模糊匹配	90.9
肺炎克雷伯杆菌感染	2	A49.814	肺炎雷克伯杆菌感染	模糊匹配	88.9
肾上腺皮质恶性肿瘤	2	C74.901	肾上腺恶性肿瘤	模糊匹配	87.5
胆管梗阻	2	K82.001	胆囊管梗阻	模糊匹配	88.9
胰头占位性病变	2	K86.902	胰占位性病变	模糊匹配	92.3
膝关节病	2	M17.961	膝骨关节病	模糊匹配	88.9
转移性乳腺癌	2	M81400/6	转移性腺癌	模糊匹配	90.9
锁骨上继发恶性肿瘤	2	C79.501	骨继发恶性肿瘤	模糊匹配	87.5
颌面部间隙感染	2	K12.201	颌面间隙感染	模糊匹配	92.3
鼻腔继发恶性肿瘤	2	C79.812	盆腔继发恶性肿瘤	模糊匹配	87.5
亚临床甲状腺功能亢进	1	E05.804	亚临床甲状腺机能亢进	模糊匹配	90.0
十二指肠肿瘤	1	C17.001	十二指肠恶性肿瘤	模糊匹配	85.7
外耳道脓肿	1	H60.002	外耳脓肿	模糊匹配	88.9
急性B淋巴细胞白血病	1	C91.001	急性淋巴细胞性白血病	模糊匹配	90.0
慢性粒细胞白血病t	1	C92.101	慢性粒细胞性白血病	模糊匹配	88.9
手术后切口感染	1	T81.402	手术后伤口感染	模糊匹配	85.7
细菌感染	1	A49.815	细球菌感染	模糊匹配	88.9
肋骨肿瘤	1	C41.905	骨肿瘤	模糊匹配	85.7
肾盂继发恶性肿瘤	1	C79.001	肾继发恶性肿瘤	模糊匹配	93.3
胰腺坏死	1	K86.808	胰坏死	模糊匹配	85.7
胸腔继发恶性肿瘤	1	C79.824	胸腔继发性恶性肿瘤	模糊匹配	94.1
脑内出血后遗症	1	I69.101	脑出血后遗症	模糊匹配	92.3
脑血管疾病	1	I67.903	脑血管病	模糊匹配	88.9
脑软化灶	1	G93.810	脑软化	模糊匹配	85.7
腹腔囊肿	1	R19.003	腹腔假囊肿	模糊匹配	88.9
腹膜后腔恶性肿瘤	1	C48.001	腹膜后恶性肿瘤	模糊匹配	93.3
腹膜肿瘤	1	C48.005	腹膜后肿瘤	模糊匹配	88.9
躯干占位性病变	1	G93.503	脑干占位性病变	模糊匹配	85.7
门脉高压性胃病	1	K92.801	门脉高压性胃肠病	模糊匹配	93.3
频发性房性期前收缩	1	I49.102	频发性房性期外收缩	模糊匹配	88.9
高同型半胱氨酸血症	1	E78.802	高同型半胱胺酸血症	模糊匹配	88.9
高磷血症	1	E83.305	高磷血盐症	模糊匹配	88.9
黑色素痣	1	M87205/0	色素痣	模糊匹配	85.7
化疗后骨髓抑制	996	D75.805	化疗后骨髓抑制	精确匹配	100.0
肝囊肿	876	K76.811	肝囊肿	精确匹配	100.0
肺占位性病变	683	J98.416	肺占位性病变	精确匹配	100.0
肺结节病	561	D86.001	肺结节病	精确匹配	100.0
脾大	425	R16.101	脾大	精确匹配	100.0
脑萎缩	361	G31.906	脑萎缩	精确匹配	100.0
慢性支气管炎	351	J42  02	慢性支气管炎	精确匹配	100.0
心包积液	344	I31.905	心包积液	精确匹配	100.0
急性白血病	326	C95.001	急性白血病	精确匹配	100.0
乙型病毒性肝炎	309	B16.905	乙型病毒性肝炎	精确匹配	100.0
肺不张	259	J98.101	肺不张	精确匹配	100.0
胃炎	251	K29.703	胃炎	精确匹配	100.0
肝功能不全	228	K76.806	肝功能不全	精确匹配	100.0
呼吸衰竭	206	J96.901	呼吸衰竭	精确匹配	100.0
淋巴结肿大	198	R59.901	淋巴结肿大	精确匹配	100.0
子宫恶性肿瘤	177	C55  01	子宫恶性肿瘤	精确匹配	100.0
癫痫	170	G40.901	癫痫	精确匹配	100.0
前列腺增生	168	N40  01	前列腺增生	精确匹配	100.0
肾上腺继发恶性肿瘤	166	C79.603	肾上腺继发恶性肿瘤	精确匹配	100.0
恶性腹水	158	R18  04	恶性腹水	精确匹配	100.0
肝占位性病变	142	K76.903	肝占位性病变	精确匹配	100.0
低钾血症	138	E87.602	低钾血症	精确匹配	100.0
上呼吸道感染	129	J06.903	上呼吸道感染	精确匹配	100.0
胸膜继发恶性肿瘤	126	C78.201	胸膜继发恶性肿瘤	精确匹配	100.0
消化道出血	119	K92.208	消化道出血	精确匹配	100.0
肋骨骨折	119	S22.301	肋骨骨折	精确匹配	100.0
鼻窦恶性肿瘤	116	C31.901	鼻窦恶性肿瘤	精确匹配	100.0
电解质紊乱	108	E87.802	电解质紊乱	精确匹配	100.0
盆腔继发恶性肿瘤	108	C79.812	盆腔继发恶性肿瘤	精确匹配	100.0
甲状腺结节	100	E04.103	甲状腺结节	精确匹配	100.0
阻塞性肺炎	100	J18.805	阻塞性肺炎	精确匹配	100.0
腹膜继发恶性肿瘤	92	C78.604	腹膜继发恶性肿瘤	精确匹配	100.0
肠梗阻	91	K56.702	肠梗阻	精确匹配	100.0
上颌窦炎	87	J32.007	上颌窦炎	精确匹配	100.0
输尿管恶性肿瘤	87	C66  01	输尿管恶性肿瘤	精确匹配	100.0
胃肠道恶性肿瘤	86	C26.901	胃肠道恶性肿瘤	精确匹配	100.0
幽门螺旋杆菌感染	84	A49.812	幽门螺旋杆菌感染	精确匹配	100.0
心动过速	84	R00.001	心动过速	精确匹配	100.0
脾继发恶性肿瘤	84	C78.803	脾继发恶性肿瘤	精确匹配	100.0
肝继发恶性肿瘤	80	C78.701	肝继发恶性肿瘤	精确匹配	100.0
下肢静脉血栓形成	78	I80.301	下肢静脉血栓形成	精确匹配	100.0
窦性心律失常	78	I49.804	窦性心律失常	精确匹配	100.0
低钠血症	77	E87.101	低钠血症	精确匹配	100.0
陈旧性肺结核	72	B90.901	陈旧性肺结核	精确匹配	100.0
肾性贫血	71	D64.904	肾性贫血	精确匹配	100.0
肝血管瘤	70	D18.016	肝血管瘤	精确匹配	100.0
舌恶性肿瘤	67	C02.901	舌恶性肿瘤	精确匹配	100.0
颈椎病	67	M50.001+ G99.201*	颈椎病	精确匹配	100.0
肾继发恶性肿瘤	66	C79.001	肾继发恶性肿瘤	精确匹配	100.0
大网膜继发恶性肿瘤	65	C78.602	大网膜继发恶性肿瘤	精确匹配	100.0
支气管扩张	65	J47  01	支气管扩张	精确匹配	100.0
溶血性贫血	64	D58.901	溶血性贫血	精确匹配	100.0
陈旧性心肌梗死	64	I25.210	陈旧性心肌梗死	精确匹配	100.0
恶病质	63	R64  01	恶病质	精确匹配	100.0
骨恶性肿瘤	61	C41.901	骨恶性肿瘤	精确匹配	100.0
颈椎恶性肿瘤	59	C41.202	颈椎恶性肿瘤	精确匹配	100.0
原发性血小板减少症	58	D69.407	原发性血小板减少症	精确匹配	100.0
梗阻性黄疸	57	K82.002	梗阻性黄疸	精确匹配	100.0
肾占位性病变	55	D41.002	肾占位性病变	精确匹配	100.0
皮肤恶性肿瘤	54	C44.902	皮肤恶性肿瘤	精确匹配	100.0
上腔静脉综合征	53	I87.116	上腔静脉综合征	精确匹配	100.0
乳腺增生	52	N62  03	乳腺增生	精确匹配	100.0
脑膜继发恶性肿瘤	52	C79.303	脑膜继发恶性肿瘤	精确匹配	100.0
滤泡性淋巴瘤	51	C82.902	滤泡性淋巴瘤	精确匹配	100.0
肺源性心脏病	51	I27.901	肺源性心脏病	精确匹配	100.0
胃息肉	50	K31.701	胃息肉	精确匹配	100.0
食管炎	50	K20  06	食管炎	精确匹配	100.0
反流性食管炎	48	K21.001	反流性食管炎	精确匹配	100.0
纵隔恶性肿瘤	48	C38.301	纵隔恶性肿瘤	精确匹配	100.0
呼吸困难	47	R06.001	呼吸困难	精确匹配	100.0
胆管扩张	47	K82.801	胆管扩张	精确匹配	100.0
阑尾炎	47	K37  01	阑尾炎	精确匹配	100.0
支气管炎	46	J40  03	支气管炎	精确匹配	100.0
感染性发热	45	B99  02	感染性发热	精确匹配	100.0
筛窦炎	45	J32.203	筛窦炎	精确匹配	100.0
心功能Ⅲ级	44	I50.908	心功能Ⅲ级	精确匹配	100.0
胆囊占位性病变	44	K82.902	胆囊占位性病变	精确匹配	100.0
白内障	43	H26.901	白内障	精确匹配	100.0
腹腔淋巴结肿大	43	R59.003	腹腔淋巴结肿大	精确匹配	100.0
骨髓抑制	43	D61.901	骨髓抑制	精确匹配	100.0
脑占位性病变	42	R90.002	脑占位性病变	精确匹配	100.0
前列腺囊肿	41	N42.801	前列腺囊肿	精确匹配	100.0
腋窝淋巴结继发恶性肿瘤	41	C77.301	腋窝淋巴结继发恶性肿瘤	精确匹配	100.0
病理性骨折	40	M84.491	病理性骨折	精确匹配	100.0
精神分裂症	39	F20.901	精神分裂症	精确匹配	100.0
糜烂性胃炎	39	K29.603	糜烂性胃炎	精确匹配	100.0
乙状结肠恶性肿瘤	38	C18.701	乙状结肠恶性肿瘤	精确匹配	100.0
前列腺炎	38	N41.901	前列腺炎	精确匹配	100.0
高血糖	38	R73.901	高血糖	精确匹配	100.0
放射性肺炎	37	J70.001	放射性肺炎	精确匹配	100.0
脑出血后遗症	37	I69.101	脑出血后遗症	精确匹配	100.0
十二指肠恶性肿瘤	36	C17.001	十二指肠恶性肿瘤	精确匹配	100.0
静脉血栓形成	36	I82.902	静脉血栓形成	精确匹配	100.0
骨质破坏	36	M89.892	骨质破坏	精确匹配	100.0
肺水肿	35	J81  03	肺水肿	精确匹配	100.0
特发性血小板减少性紫癜	34	D69.303	特发性血小板减少性紫癜	精确匹配	100.0
颈部淋巴结继发恶性肿瘤	34	C77.002	颈部淋巴结继发恶性肿瘤	精确匹配	100.0
高脂血症	33	E78.501	高脂血症	精确匹配	100.0
上消化道出血	32	K92.204	上消化道出血	精确匹配	100.0
泌尿道感染	32	N39.001	泌尿道感染	精确匹配	100.0
皮肤感染	32	L08.907	皮肤感染	精确匹配	100.0
胃肠功能紊乱	32	K92.901	胃肠功能紊乱	精确匹配	100.0
间质性肺炎	31	J84.901	间质性肺炎	精确匹配	100.0
面神经炎	31	G51.802	面神经炎	精确匹配	100.0
房室传导阻滞	30	I44.302	房室传导阻滞	精确匹配	100.0
脑水肿	30	G93.601	脑水肿	精确匹配	100.0
食管肿物	30	K22.902	食管肿物	精确匹配	100.0
涎腺肿物	29	K11.903	涎腺肿物	精确匹配	100.0
脾囊肿	29	D73.401	脾囊肿	精确匹配	100.0
风湿性心脏病	29	I09.901	风湿性心脏病	精确匹配	100.0
白血病	28	C95.901	白血病	精确匹配	100.0
肾盂恶性肿瘤	28	C65  01	肾盂恶性肿瘤	精确匹配	100.0
胃溃疡	28	K25.903	胃溃疡	精确匹配	100.0
颅内占位性病变	28	R90.001	颅内占位性病变	精确匹配	100.0
鼻窦炎	28	J32.907	鼻窦炎	精确匹配	100.0
肺结核	27	A16.202	肺结核	精确匹配	100.0
过敏性紫癜	27	D69.004	过敏性紫癜	精确匹配	100.0
急性肝衰竭	26	K72.002	急性肝衰竭	精确匹配	100.0
纵隔继发恶性肿瘤	26	C78.101	纵隔继发恶性肿瘤	精确匹配	100.0
肾上腺恶性肿瘤	26	C74.901	肾上腺恶性肿瘤	精确匹配	100.0
胃占位性病变	26	K31.902	胃占位性病变	精确匹配	100.0
右束支传导阻滞	25	I45.103	右束支传导阻滞	精确匹配	100.0
结肠息肉	25	K63.501	结肠息肉	精确匹配	100.0
肠道感染	25	A04.901	肠道感染	精确匹配	100.0
锁骨上淋巴结继发恶性肿瘤	25	C77.004	锁骨上淋巴结继发恶性肿瘤	精确匹配	100.0
肺门淋巴结肿大	24	R59.007	肺门淋巴结肿大	精确匹配	100.0
脑动脉供血不足	24	I67.802	脑动脉供血不足	精确匹配	100.0
贫血性心脏病	24	I51.902	贫血性心脏病	精确匹配	100.0
食管气管瘘	24	J86.003	食管气管瘘	精确匹配	100.0
尿道炎	23	N34.202	尿道炎	精确匹配	100.0
心功能Ⅳ级	23	I50.910	心功能Ⅳ级	精确匹配	100.0
腰椎骨折	23	S32.001	腰椎骨折	精确匹配	100.0
子宫继发恶性肿瘤	22	C79.830	子宫继发恶性肿瘤	精确匹配	100.0
肝硬化失代偿期	22	K72.905	肝硬化失代偿期	精确匹配	100.0
肝细胞癌	22	C22.001	肝细胞癌	精确匹配	100.0
心绞痛	21	I20.902	心绞痛	精确匹配	100.0
牙龈出血	21	K06.802	牙龈出血	精确匹配	100.0
肝胆管扩张	21	K83.807	肝胆管扩张	精确匹配	100.0
乳突炎	20	H70.902	乳突炎	精确匹配	100.0
低血压	20	I95.901	低血压	精确匹配	100.0
卵巢囊肿	20	N83.203	卵巢囊肿	精确匹配	100.0
上颌窦囊肿	19	J34.107	上颌窦囊肿	精确匹配	100.0
低钙血症	19	E83.502	低钙血症	精确匹配	100.0
睾丸恶性肿瘤	19	C62.101	睾丸恶性肿瘤	精确匹配	100.0
高钾血症	19	E87.501	高钾血症	精确匹配	100.0
关节炎	18	M13.991	关节炎	精确匹配	100.0
心肌梗死	18	I21.902	心肌梗死	精确匹配	100.0
结肠继发恶性肿瘤	18	C78.502	结肠继发恶性肿瘤	精确匹配	100.0
肠炎	18	K52.901	肠炎	精确匹配	100.0
胆囊息肉	18	K82.808	胆囊息肉	精确匹配	100.0
腹腔感染	18	K65.903	腹腔感染	精确匹配	100.0
膀胱继发恶性肿瘤	18	C79.101	膀胱继发恶性肿瘤	精确匹配	100.0
中耳炎	17	H66.905	中耳炎	精确匹配	100.0
反流性胃炎	17	K29.701	反流性胃炎	精确匹配	100.0
左束支传导阻滞	17	I44.701	左束支传导阻滞	精确匹配	100.0
心功能Ⅱ级	17	I50.907	心功能Ⅱ级	精确匹配	100.0
支原体感染	17	A49.301	支原体感染	精确匹配	100.0
肝肾功能衰竭	17	K76.701	肝肾功能衰竭	精确匹配	100.0
胸椎骨折	17	S22.001	胸椎骨折	精确匹配	100.0
腹股沟疝	17	K40.902	腹股沟疝	精确匹配	100.0
下肢恶性肿瘤	16	C76.501	下肢恶性肿瘤	精确匹配	100.0
慢性前列腺炎	16	N41.101	慢性前列腺炎	精确匹配	100.0
胰腺继发恶性肿瘤	16	C78.809	胰腺继发恶性肿瘤	精确匹配	100.0
衣原体感染	16	A74.901	衣原体感染	精确匹配	100.0
高尿酸血症	16	E79.001	高尿酸血症	精确匹配	100.0
不完全性肠梗阻	15	K56.701	不完全性肠梗阻	精确匹配	100.0
休克	15	R57.901	休克	精确匹配	100.0
口腔感染	15	K12.103	口腔感染	精确匹配	100.0
放射性肠炎	15	K52.001	放射性肠炎	精确匹配	100.0
胰管扩张	15	K86.806	胰管扩张	精确匹配	100.0
胸腺恶性肿瘤	15	C37  02	胸腺恶性肿瘤	精确匹配	100.0
腹腔淋巴结继发恶性肿瘤	15	C77.204	腹腔淋巴结继发恶性肿瘤	精确匹配	100.0
血小板减少性紫癜	15	D69.405	血小板减少性紫癜	精确匹配	100.0
血小板增多	15	D75.201	血小板增多	精确匹配	100.0
咯血	14	R04.201	咯血	精确匹配	100.0
慢性胆囊炎	14	K81.101	慢性胆囊炎	精确匹配	100.0
