standard_name	frequency	icd10_code	icd10_name	match_method	match_score
肝胆管恶性肿瘤	42	C24.001	胆管恶性肿瘤	子串匹配	85.7
完全性右束支传导阻滞	40	I45.103	右束支传导阻滞	子串匹配	70.0
银屑病	36	L41.901	类银屑病	子串匹配	75.0
胰腺恶性肿瘤个人史	33	C25.901	胰腺恶性肿瘤	子串匹配	66.7
纵隔淋巴结肿大	30	R59.901	淋巴结肿大	子串匹配	71.4
慢性阻塞性肺疾病急性加重	29	J44.901	慢性阻塞性肺疾病	子串匹配	66.7
纯红细胞再生障碍	27	D60.901	单纯红细胞再生障碍性贫血	子串匹配	66.7
肺恶性肿瘤个人史	26	C34.901	肺恶性肿瘤	子串匹配	62.5
肝衰竭	25	K72.002	急性肝衰竭	子串匹配	60.0
骨肉瘤	24	C40.205	胫骨肉瘤	子串匹配	75.0
盆腔淋巴结肿大	23	R59.901	淋巴结肿大	子串匹配	71.4
腮腺恶性肿瘤个人史	23	C07  01	腮腺恶性肿瘤	子串匹配	66.7
十二指肠憩室	20	K57.104	十二指肠憩室炎	子串匹配	85.7
冠状动脉粥样硬化	18	I25.104	冠状动脉粥样硬化(狭窄)	子串匹配	66.7
脑动脉狭窄	18	I77.101	动脉狭窄	子串匹配	80.0
真性红细胞增多症	17	C94.003	红细胞增多症	子串匹配	75.0
肺间质纤维化	17	J84.107	弥漫性肺间质纤维化	子串匹配	66.7
脊髓灰质炎后遗症	17	O98.804	妊娠并脊髓灰质炎后遗症	子串匹配	72.7
Ⅰ度房室传导阻滞	16	I44.302	房室传导阻滞	子串匹配	75.0
口腔恶性肿瘤	16	M80000/3	恶性肿瘤	子串匹配	66.7
T细胞淋巴瘤	14	M97002/3	皮肤T细胞淋巴瘤	子串匹配	75.0
继发性骨髓纤维化	14	D47.101	骨髓纤维化	子串匹配	62.5
肋骨继发恶性肿瘤	14	C79.501	骨继发恶性肿瘤	子串匹配	87.5
肠道恶性肿瘤	14	C26.901	胃肠道恶性肿瘤	子串匹配	85.7
腹膜后淋巴结继发恶性肿瘤	14	C77.901	淋巴结继发恶性肿瘤	子串匹配	75.0
EB病毒感染	13	B34.901	病毒感染	子串匹配	66.7
下颌恶性肿瘤	13	M80000/3	恶性肿瘤	子串匹配	66.7
真菌感染	12	B49.013	肺部真菌感染	子串匹配	66.7
肝静脉血栓形成	12	I82.902	静脉血栓形成	子串匹配	85.7
宫颈炎	11	N72  02	子宫颈炎	子串匹配	75.0
蝶窦炎	11	J01.301	急性蝶窦炎	子串匹配	60.0
颈部淋巴结肿大	11	R59.901	淋巴结肿大	子串匹配	71.4
心动过缓	10	R00.101	窦性心动过缓	子串匹配	66.7
急性骨髓纤维化	10	D47.101	骨髓纤维化	子串匹配	71.4
胰恶性肿瘤	10	M80000/3	恶性肿瘤	子串匹配	80.0
胸部恶性肿瘤	10	M80000/3	恶性肿瘤	子串匹配	66.7
