# 知识图谱药品列表（共 3888 条）
# 格式：药品名称 | 出现频次 | 原始名称数量
半边莲kl | 21 | 1
坎地沙坦酯片 | 21 | 1
头孢哌酮钠他唑巴坦钠粉针 | 21 | 1
导管冲洗器 BID | 21 | 1
干鱼腥草 | 21 | 1
引流装置更换 | 21 | 1
当归粉 | 21 | 1
无菌体液细菌培养+鉴定 | 21 | 1
替雷利珠单抗注射液 200mg 加入氯化钠100ml内静脉滴注 | 21 | 1
桂枝茯苓胶囊 | 21 | 1
氢氯吡格雷片 | 21 | 1
环孢霉素血药浓度测定 | 21 | 1
白芨kl | 21 | 1
硝酸异山梨酯粉针 | 21 | 1
维U颠茄铝镁片 | 21 | 1
羟乙基淀粉130/0.4氯化钠注射液 | 21 | 2
门冬胰岛素30注射液 | 21 | 1
阿昔洛韦片 | 21 | 1
雾化器 | 21 | 1
鳖甲煎丸 | 21 | 1
乳酸环丙沙星氯化钠注射液 | 20 | 1
养血清脑颗粒 | 20 | 1
冬瓜子 | 20 | 1
呋塞米注射液(备选) | 20 | 1
干益母草 | 20 | 1
敷贴[3M透明敷贴]10*12cm | 20 | 1
普瑞巴林胶囊 | 20 | 1
板蓝根(大青根) | 20 | 1
氧气面罩 | 20 | 1
沙库巴曲缬沙坦片(国谈) | 20 | 1
注射用曲妥珠单抗300mg 加入氯化钠注射液250ml内静脉滴注 | 20 | 1
派安普利单抗200MG加入氯化钠100ML中 | 20 | 1
测血压每日两次“BID" | 20 | 1
炒火麻仁 | 20 | 1
炒芥子 | 20 | 1
特瑞普利单抗注射液240mg 加入100ml氯化钠注射液中静脉滴注 | 20 | 1
盐小茴香kl | 20 | 1
盐杜仲kl | 20 | 1
盐益智仁 | 20 | 1
石膏 | 20 | 1
穴位注射 | 20 | 1
胺碘酮片 | 20 | 1
自备地西他滨10mg 加入氯化钠250mL ivgtt qd | 20 | 1
转入肿瘤血液科 | 20 | 1
门冬胰岛素 | 20 | 1
雷替曲塞粉针 | 20 | 1
马来酸依那普利片 | 20 | 1
"人工中心静脉压测定" | 19 | 1
10%浓氯化钠注射液(备选) | 19 | 1
一次性使用活组织取样钳 | 19 | 1
云南白药胶囊 0.5 tid po | 19 | 1
依托泊苷针 0.1 加入氯化钠250ml内静脉滴注 | 19 | 1
倍他司汀氯化钠注射液 | 19 | 1
半卧位 | 19 | 1
华法林钠片 | 19 | 1
双黄连合剂 | 19 | 1
吸入用异丙托溴铵溶液 | 19 | 2
地尔硫卓片 | 19 | 1
复方丹参滴丸 | 19 | 2
复方地芬诺酯 | 19 | 1
头孢唑肟皮试 | 19 | 1
头孢皮试 | 19 | 1
彩超颈部血管双侧(八个血管) | 19 | 1
替诺福韦二吡呋酯片 | 19 | 1
机采冰冻血小板 | 19 | 1
次氯酸伤口液体敷料 | 19 | 1
氨溴索颗粒 | 19 | 1
炒牛蒡子 | 19 | 1
炒芥子kl | 19 | 1
甘松 | 19 | 1
甘精胰岛素注射液(笔芯) | 19 | 1
甲胎蛋白AFP测定(包括CEA和PSA) | 19 | 1
白前 | 19 | 1
糖化血红蛋白两项 | 19 | 1
脑安滴丸 | 19 | 1
舍曲林片 | 19 | 2
苁蓉通便口服液 | 19 | 1
补肺活血胶囊 | 19 | 1
三人间(普通病房) | 18 | 1
中药每日一剂 | 18 | 1
丹参川芎嗪注射液 | 18 | 1
培美曲塞二钠针(爱力汀) | 18 | 1
大便常规+粪寄生虫 | 18 | 1
天花粉kl | 18 | 1
新斯的明注射液 | 18 | 1
普通针刺 | 18 | 1
曲克芦丁注射液 | 18 | 1
植入式静脉给药装置 | 18 | 1
注射用曲妥珠单抗440mg 加入氯化钠注射液250ml内静脉滴注 | 18 | 1
甘精胰岛素(长秀霖预填充)注射液 | 18 | 1
白介素-6 | 18 | 1
盐酸氨溴索胶囊 | 18 | 1
羌活kl | 18 | 1
苦参 | 18 | 1
血培养及鉴定(荧光增强法) | 18 | 1
达格列净片(国谈) | 18 | 1
酒苁蓉kl | 18 | 1
重症监护 | 18 | 1
铝碳酸镁咀嚼片(速复康) | 18 | 1
银柴胡kl | 18 | 1
一次性使用避光输液器 | 17 | 1
一次性骨髓活检包 | 17 | 1
健肝乐颗粒 15g tid po | 17 | 1
土鳖虫(廑虫) | 17 | 1
地奥心血康胶囊 200mg Tid Po | 17 | 1
布比卡因注射液 | 17 | 1
托伐普坦片(国谈) | 17 | 1
排石颗粒 | 17 | 1
柴胡注射液 | 17 | 1
气管内湿化 | 17 | 1
瓜蒌kl | 17 | 1
甲钴胺分散片 | 17 | 1
白蛋白结合紫杉醇100mg(自备)加入氯化钠250ml内静脉滴注 | 17 | 1
益母草 | 17 | 1
盐酸罂粟碱注射液 | 17 | 1
盐酸羟考酮缓释片 20mg q12h po | 17 | 1
空气负离子治疗 | 17 | 1
竹茹球 | 17 | 1
类风湿因子(RF)全定量测定 | 17 | 1
红参片 | 17 | 1
耳针治疗(降压沟、交感、心、肝、神门) | 17 | 1
脑安颗粒 | 17 | 2
艾普拉唑肠溶片(壹丽安) | 17 | 1
败酱草kl | 17 | 1
醋三棱kl | 17 | 1
间羟胺注射液 | 17 | 1
阿奇霉素干混悬剂 | 17 | 1
丹参酮ⅡA磺酸钠注射液 | 16 | 1
出诊费 | 16 | 1
双腔中心静脉导管配件 | 16 | 1
右佐匹克隆 | 16 | 1
合欢花 | 16 | 1
天麻粉 | 16 | 1
头痛宁胶囊 | 16 | 1
氨苄西林针 | 16 | 1
火麻仁kl | 16 | 1
炒僵蚕kl | 16 | 1
甲地孕酮分散片 | 16 | 1
百部 | 16 | 1
硝普钠粉针 | 16 | 2
硝酸甘油片 | 16 | 1
稳心颗粒9g tid po | 16 | 1
肾炎康复片 | 16 | 1
舒肝解郁胶囊 | 16 | 1
舒血宁注射液(湖北) | 16 | 1
蝉蜕 | 16 | 1
蝉蜕kl | 16 | 1
血必净注射液 | 16 | 1
轻链KAPPA、LAMBDA定量(K-LC，λ-LC) | 16 | 1
金嗓利咽胶囊 | 16 | 1
钩藤 | 16 | 1
一次性敷料包 | 15 | 1
丙氨酰谷氨酰胺注射液 | 15 | 2
丝瓜络kl | 15 | 1
佩兰 | 15 | 1
冠心苏合软胶囊 | 15 | 1
双氯芬酸钠肠溶片 | 15 | 1
大腹皮kl | 15 | 1
小儿复方氨基酸注射液(18AA-I) | 15 | 2
尿激酶粉针(广东) | 15 | 1
抗ENA多肽谱 | 15 | 1
替米沙坦片 | 15 | 2
术前排小便 | 15 | 1
次氯酸液体敷料15ml 外用 2-3ml qd | 15 | 1
注射用曲妥珠单抗440mg 加入氯化钠注射液100ml内静脉滴注 | 15 | 1
注射用阿昔洛韦(甘泰) | 15 | 1
海藻 | 15 | 1
生石膏kl | 15 | 1
生长抑素粉针 | 15 | 1
甲巯咪唑片 | 15 | 1
电针 | 15 | 1
癌胚抗原CEA | 15 | 1
眼针 | 15 | 1
瞿麦kl | 15 | 1
绝对卧床 | 15 | 1
脉络宁口服液 | 15 | 1
脑心清胶囊 | 15 | 1
菊花kl | 15 | 1
蜜桑白皮kl | 15 | 1
蜜款冬花kl | 15 | 1
血培养加药敏 | 15 | 1
血塞通片 | 15 | 1
西地碘含片 | 15 | 1
重组人干扰素α-1b注射液 | 15 | 1
银柴胡 | 15 | 1
麻黄kl | 15 | 1
龙葵 | 15 | 1
一次性使用压力延长管 | 14 | 1
一次性雾化管 | 14 | 1
下肢输液 | 14 | 1
丹参粉 | 14 | 1
乳癖消片 | 14 | 1
佩兰kl | 14 | 1
叶酸片 10mg tid po | 14 | 1
合欢皮kl | 14 | 1
坎地沙坦酯分散片 | 14 | 1
复方川芎片 | 14 | 1
多潘立酮片 10mg tid po | 14 | 1
奥硝唑注射液 | 14 | 1
替雷利珠单抗注射液200MG 加入氯化钠注射液250ml内静脉滴注 | 14 | 1
染色体显带技术 | 14 | 1
桑叶 | 14 | 1
椎管内药物治疗 | 14 | 1
比卡鲁胺胶囊 | 14 | 1
氟康唑片 | 14 | 2
温针 | 14 | 1
烫水蛭kl | 14 | 1
烫骨碎补 | 14 | 1
燀桃仁颗粒 | 14 | 1
特瑞普利单抗注射液 | 14 | 1
猫爪草 | 14 | 1
白花蛇草颗粒 | 14 | 1
碘化油注射液 | 14 | 1
红花颗粒 | 14 | 1
苍术kl | 14 | 1
血栓通粉针 | 14 | 2
酮替芬片 | 14 | 1
醒脾胶囊 | 14 | 1
银黄颗粒 | 14 | 1
门冬胰岛素(锐秀霖笔芯)注射液 | 14 | 1
龙胆 | 14 | 1
一次性使用高压造影注射器及附件 | 13 | 1
一次性动脉针 | 13 | 1
中长链脂肪乳/氨基酸(16)/葡萄糖注射液(国谈) | 13 | 1
人粒细胞刺激因子)注射液 | 13 | 1
仙灵骨葆胶囊 | 13 | 1
僵蚕(白僵虫) | 13 | 1
制白附子 | 13 | 1
厄贝沙坦氢氯噻嗪片(国产) | 13 | 1
哌拉西林 皮试 | 13 | 1
地榆 | 13 | 1
头孢克洛缓释片 | 13 | 2
头皮针 | 13 | 1
姜黄 | 13 | 1
射干kl | 13 | 1
尼莫地平注射液(14省联盟) | 13 | 1
巴戟天 | 13 | 1
异丙托溴铵气雾剂 | 13 | 1
拔除胸腔引流管 | 13 | 1
拟今日局麻下行肝介入栓塞术 | 13 | 1
接触隔离 | 13 | 1
有创有力传感器 | 13 | 1
桑寄生kl | 13 | 1
氟马西尼注射液 | 13 | 1
氨咖黄敏胶囊 | 13 | 1
水牛角kl | 13 | 1
滑石粉 | 13 | 1
灸法 | 13 | 1
炒柏子仁 | 13 | 1
炒白芥子 | 13 | 1
环磷酰胺针 1g qd 静脉点滴 | 13 | 1
甘精胰岛素注射液(长秀霖) | 13 | 1
白芍颗粒 | 13 | 1
白芷 | 13 | 1
白芷kl | 13 | 1
碳酸钙D3颗粒(II)(备选) | 13 | 1
磷酸奥司他韦干混悬剂 | 13 | 1
羟乙基淀粉氯化钠注射液 | 13 | 1
肺功能全套 | 13 | 1
胶贴10x10cm | 13 | 1
茯苓皮kl | 13 | 1
通草 | 13 | 1
酒苁蓉(酒大云) | 13 | 1
醋乳香 | 13 | 1
醋没药 | 13 | 1
阴道灌洗上药 | 13 | 1
阿奇霉素粉针(备选) | 13 | 1
阿法骨化醇片 | 13 | 1
预充式导管冲洗器 bid | 13 | 1
马齿苋 | 13 | 1
高良姜 | 13 | 1
鳞状细胞癌相关抗原测定(sCC) | 13 | 1
一次性套管针 | 12 | 1
信达利单抗注射液100mg 加入100ml氯化钠注射液中静脉滴注 | 12 | 1
信达利单抗注射液200mg 加入100ml氯化钠注射液中静脉滴注 | 12 | 1
加巴喷丁胶囊 0.3 tid po | 12 | 1
卧床休息 | 12 | 1
哌拉西林皮试 | 12 | 1
川芎颗粒 | 12 | 1
当归颗粒 | 12 | 1
担架服务 | 12 | 1
更昔洛韦粉针 | 12 | 1
有创压力传感器 | 12 | 1
林可霉素注射液 | 12 | 1
桑寄生 | 12 | 1
桑白皮(桑皮) | 12 | 1
槐角丸 | 12 | 1
正天胶囊 | 12 | 1
氟哌噻吨美利曲辛片(国产) | 12 | 1
沙利度胺片100mg qn po | 12 | 1
测血压qd | 12 | 1
灯盏花素注射液 | 12 | 1
炙乳香kl | 12 | 1
珍珠母 | 12 | 1
琥珀 | 12 | 1
生理氯化钠溶液(冲洗) | 12 | 1
皂角刺kl | 12 | 1
石杉碱甲片 | 12 | 1
磁共振水成象(MRCP，MRM，MRU) | 12 | 1
紫草kl | 12 | 1
经皮穿刺深部组织活检术 | 12 | 1
经肠镜特殊治疗 | 12 | 1
结核抗体测定 | 12 | 1
羌活 | 12 | 1
聚乙二醇液体敷料 | 12 | 1
苯磺酸左氨氯地平片 | 12 | 1
茯苓颗粒 | 12 | 1
血清白蛋白测定 | 12 | 1
血清肌钙蛋白T测定 | 12 | 1
负压吸引器 | 12 | 1
钩藤kl | 12 | 1
锁阳kl | 12 | 1
阿得贝利单抗注射液1040MG加入250ML生理盐水 | 12 | 1
阿托伐他汀钙片(舒迈通) | 12 | 2
院前急救 | 12 | 1
鼠神经生长因子粉针 | 12 | 1
EB病毒抗体四项 | 11 | 1
万古霉素粉针 | 11 | 1
丙泊酚乳状注射液 | 11 | 1
九香虫 | 11 | 1
亲水涂层导丝 | 11 | 1
亲水涂层导丝(埃普特) | 11 | 1
低分子量肝素钙注射液(尤尼舒) | 11 | 1
倍他米松磷酸钠注射液 | 11 | 1
全虫颗粒 | 11 | 1
半边莲 | 11 | 1
吲达帕胺片2.5mg qd po | 11 | 1
呼吸道病原体核酸检测 | 11 | 1
地龙颗粒 | 11 | 1
太子参颗粒 | 11 | 1
头孢呋辛钠针 | 11 | 1
头孢哌酮舒巴坦钠(2：1)(金石) | 11 | 1
小儿柴桂退热口服液 | 11 | 1
己酮可可碱注射液 | 11 | 1
恩替卡韦胶囊(甘倍轻) | 11 | 1
拔除胃管 | 11 | 1
无创辅助通气 | 11 | 1
桑叶kl | 11 | 1
植入式输液装置 | 11 | 1
氨基葡萄糖片 | 11 | 1
注射用艾普拉唑钠(壹丽安) | 11 | 1
炒决明子kl | 11 | 1
炒王不留行 | 11 | 1
炒谷芽 | 11 | 1
炮姜kl | 11 | 1
烟酸注射液 | 11 | 1
煅赭石kl | 11 | 1
牛膝kl | 11 | 1
独活 | 11 | 1
生龙骨kl | 11 | 1
电圈套器 | 11 | 1
硫酸氨基葡萄糖胶囊(伊索佳) | 11 | 2
禁饮食 | 11 | 1
红细胞沉降率测定(ESR)(激光法) | 11 | 1
红花粉 | 11 | 1
维D2磷葡钙片 | 11 | 1
自备地西他滨 25mg 加入氯化钠250mL ivgtt qd | 11 | 1
葆宫止血颗粒 | 11 | 1
蒺藜 | 11 | 1
血清总蛋白测定 | 11 | 1
血清肌红蛋白测定 | 11 | 1
西维来司他钠粉针 | 11 | 1
醋山甲kl | 11 | 1
醋酸泼尼松片 10mg qd po | 11 | 1
铝碳酸镁片 | 11 | 1
门冬氨酸鸟氨酸20g 加氯化钠中 | 11 | 1
阿得贝利单抗注射液1200MG加入250ML生理盐水 | 11 | 1
阿德福韦酯片 | 11 | 2
高血压四项 | 11 | 1
鼻窦炎口服液 | 11 | 1
龙珠软膏 | 11 | 1
一次性换药包 | 10 | 1
一次性负压采血管 | 10 | 1
丙型肝炎病毒核糖核酸扩增定量检测 | 10 | 1
乳酸脱氢酶测定 | 10 | 1
人免疫球蛋白 5.0 ivgtt (自备) | 10 | 1
信迪利单抗注射液200mg 加入100ml氯化钠注射液中静脉滴注 | 10 | 1
免疫球蛋白定量测定 | 10 | 1
匹维溴铵片 | 10 | 1
吸入用乙酰半胱氨酸溶液(备选) | 10 | 1
呼吸管路组 | 10 | 1
大黄炭 | 10 | 1
尿培养加菌落计数 | 10 | 1
山豆根 | 10 | 1
异丙肾上腺素注射液 | 10 | 1
引流管装置置管或更换 | 10 | 1
抗病毒口服液 | 10 | 1
拟定于今日上午在行CVC置管术 | 10 | 1
持续引流管冲洗 | 10 | 1
替雷利珠单抗注射液 200mg 加入氯化钠250ml内静脉滴注 | 10 | 1
替雷利珠单抗注射液200mg 加入100ml氯化钠注射液中静脉滴注 | 10 | 1
柿蒂 | 10 | 1
桑椹kl | 10 | 1
氨甲苯酸粉针 | 10 | 1
法半夏 | 10 | 1
注射用曲妥珠单抗420mg 加入氯化钠注射液100ml内静脉滴注 | 10 | 1
泽泻颗粒 | 10 | 1
灵芝片 | 10 | 1
熟地黄颗粒 | 10 | 1
牡丹皮颗粒 | 10 | 1
特殊染色及酶组织化学染色诊断 | 10 | 1
独一味片 | 10 | 1
甲硝唑栓 | 10 | 1
病毒灭活 | 10 | 1
百合kl | 10 | 1
硝苯地平缓释片II(伲福达) | 10 | 1
紫花地丁kl | 10 | 1
细胞因子测定 | 10 | 1
维生素B12片 50ug tid po | 10 | 1
维生素B1注射液 | 10 | 1
维生素C片 0.2 tid po | 10 | 1
罂粟乙碘油注射液 | 10 | 1
脂蛋白相关磷脂酶A2(Lp-PLA2)测定 | 10 | 1
自备地西他滨25mg 加入氯化钠250mL ivgtt qd | 10 | 1
莫匹罗星软膏 | 10 | 1
薄荷kl | 10 | 1
血府逐瘀丸(水蜜丸) | 10 | 1
血清γ-谷氨酰基转移酶测定 | 10 | 1
血清丙氨酸氨基转移酶测定 | 10 | 1
血清天门冬氨酸氨基转移酶测定 | 10 | 1
血清总胆汁酸测定 | 10 | 1
血清总胆红素测定 | 10 | 1
血清直接胆红素测定 | 10 | 1
血清碱性磷酸酶测定 | 10 | 1
赤芍颗粒 | 10 | 1
金嗓散结胶囊 | 10 | 1
阿奇霉素胶囊 | 10 | 1
麸炒六神曲 | 10 | 1
黄芩颗粒 | 10 | 1
14碳呼气试验 | 9 | 1
一次性吸痰管 | 9 | 1
丙肝两项 | 9 | 1
中药硬膏热帖敷 | 9 | 1
信迪利单抗注射液100mg 加入100ml氯化钠注射液中静脉滴注 | 9 | 1
内科妇科疾病推拿治疗 | 9 | 1
决明子 | 9 | 1
利妥昔单抗0.6g 静脉滴注 | 9 | 1
卡介菌多糖核酸注射液 (自备)1ML 肌注 | 9 | 1
卡瑞丽珠单抗注射液200mg 加入200ml氯化钠注射液中静脉滴注 | 9 | 1
吸引连接管 | 9 | 1
地榆升白片 0.4 tid po | 9 | 1
壁虎 | 9 | 1
复方右旋糖酐40注射液 | 9 | 1
天麻颗粒 | 9 | 1
孟鲁司特钠片国产 | 9 | 1
富马酸替诺福韦二吡呋酯片 | 9 | 1
徐长卿kl | 9 | 1
抗双链DNA抗体定量测定 | 9 | 1
抗双链DNA测定(抗dsDNA) | 9 | 1
抗环瓜胺酸肽抗体测定(CCP) | 9 | 1
接骨七厘片 | 9 | 1
昆布kl | 9 | 1
替雷利珠单抗注射液 | 9 | 1
橘红kl | 9 | 1
氢化可的松注射液 | 9 | 1
水胶体敷料10*10个 | 9 | 1
注射用帕妥珠单抗420mg 加入氯化钠注射液250ml内静脉滴注 | 9 | 1
活检穿刺针 | 9 | 1
甘精胰岛素(联邦预填充)注射液 | 9 | 1
生地炭 | 9 | 1
甲硫氨酸维B1注射液 | 9 | 1
疼痛综合评估 | 9 | 1
百令片 | 9 | 1
盐酸精氨酸注射液(信谊) | 9 | 1
真菌培养及鉴定 | 9 | 1
硫酸镁注射液 | 9 | 2
秦艽kl | 9 | 1
经胃镜特殊治疗 | 9 | 1
肝穿刺术 | 9 | 1
莫米松乳膏 | 9 | 2
葡萄糖酸钙注射液(兰随) | 9 | 1
蜜枇杷叶 | 9 | 1
血清尿酸测定 | 9 | 1
贝莫苏拜单抗1200MG加入210ML盐水中静脉滴注 | 9 | 1
过敏原检测 | 9 | 1
醋酸钙片 | 9 | 2
金骨莲胶囊 | 9 | 1
铁蛋白测定 | 9 | 1
银杏叶提取物注射液 | 9 | 1
阿莫西林颗粒 | 9 | 1
鸡骨草kl | 9 | 1
麸煨肉豆蔻 | 9 | 1
24h尿蛋白定量测定 | 8 | 1
一次性使用静脉输接头 | 8 | 1
一次性湿化瓶 | 8 | 1
丁苯酞氯化钠注射液(国谈) | 8 | 1
丙泊酚中长链脂肪乳注射液 | 8 | 1
中医定向透药疗法 | 8 | 1
中频脉冲电治疗 | 8 | 1
丹参颗粒 | 8 | 1
佐匹克隆片 | 8 | 1
使用微量泵入 | 8 | 1
依托泊苷针100MG加250ML氯化钠 | 8 | 1
信达利单抗注射液 200mg 加入氯化钠100ml内静脉滴注 | 8 | 1
党参颗粒 | 8 | 1
半流饮食 | 8 | 1
卡瑞丽珠单抗200MG | 8 | 1
压疮贴1个 | 8 | 1
地黄颗粒 | 8 | 1
大枣颗粒 | 8 | 1
头孢唑林钠针 | 8 | 1
头孢拉定胶囊 | 8 | 1
奥氮平(欧兰宁)片 | 8 | 1
妥布霉素地塞米松滴眼液 | 8 | 2
尿素测定 | 8 | 1
急诊生化全套 | 8 | 1
手工分冰冻血浆 | 8 | 1
抗人球蛋白试验 | 8 | 1
抗肿瘤药物配置 | 8 | 1
抗角蛋白抗体(AKA)测定 | 8 | 1
拔罐疗法 | 8 | 1
替雷利珠单抗200MG加入100氯化钠中 | 8 | 1
植入术静脉给药装置 | 8 | 1
氨氯地平片 | 8 | 1
派胺普利单抗注射液200MG加入100ML盐水中静滴 | 8 | 1
淋巴结穿刺术 | 8 | 1
淡竹叶kl | 8 | 1
炒白术颗粒 | 8 | 1
炒鸡内金颗粒 | 8 | 1
环孢素胶囊 125mg bid po | 8 | 1
环孢素胶囊75mg bid po | 8 | 1
甘精胰岛素注射液(预填充) | 8 | 1
留置静脉针胶贴 | 8 | 1
益母草kl | 8 | 1
直接抗人球蛋白试验(Coombs') | 8 | 1
硫辛酸注射液 | 8 | 1
粪便常规 | 8 | 1
经电子内镜食管胃十二指肠黏膜切除术(EMR) | 8 | 1
绵萆薢 | 8 | 1
缬沙坦片 | 8 | 1
胆南星kl | 8 | 1
脑卒中筛查评估14项 | 8 | 1
莲子心 | 8 | 1
萹蓄kl | 8 | 1
葡萄糖酸钙注射液(备选) | 8 | 1
造影导管 | 8 | 1
郁李仁 | 8 | 1
酒萸肉颗粒 | 8 | 1
酪酸梭菌活菌片 | 8 | 1
醋五灵脂 | 8 | 1
门冬胰岛素注射液 | 8 | 2
间断呼吸机试脱机 | 8 | 1
静脉输注白蛋白20g(自备) | 8 | 1
颠茄片 | 8 | 1
麸炒苍术kl | 8 | 1
一体式 | 7 | 1
一次性手术辅料包 | 7 | 1
一次性无菌中心静脉导管及附件 | 7 | 1
一次性负压引流装置 | 7 | 1
乌贼骨颗粒 | 7 | 1
人绒毛膜促性腺激素(HCG) | 7 | 1
仙鹤草颗粒 | 7 | 1
依托泊苷针0.15G加250ML氯化钠 | 7 | 1
元胡止痛胶囊 | 7 | 1
凡士林纱布 | 7 | 1
制白附子kl | 7 | 1
前脑利尿钠钛--心衰标志物 | 7 | 1
前鼻孔填塞 | 7 | 1
吉非替尼片(伊瑞可) | 7 | 1
呼吸机辅助呼吸 | 7 | 1
噻托溴铵粉雾剂 | 7 | 1
土茯苓 | 7 | 1
垂盆草kl | 7 | 1
多巴丝肼片 | 7 | 1
头孢唑肟皮试单 | 7 | 1
头孢曲松钠针 | 7 | 1
奥美拉唑钠粉针(康诺) | 7 | 1
平卧位 | 7 | 1
康莱特软胶囊 | 7 | 1
异常糖链蛋白检测 | 7 | 1
彩超下肢血管单侧(四个血管) | 7 | 1
彩超下肢血管双侧(八个血管) | 7 | 1
心梗三项 | 7 | 1
急性子 | 7 | 1
拟今日下午局麻下行肝介入栓塞术 | 7 | 1
拟今日局麻下行肝穿刺活检术 | 7 | 1
持续呼吸功能检测 | 7 | 1
新型冠状病毒抗体测定 | 7 | 1
旋覆花kl | 7 | 1
普乐安片 | 7 | 1
更换尿管 | 7 | 1
桑枝 | 7 | 1
次氯酸伤口液体敷料1瓶 | 7 | 1
氨基己酸氯化钠注射液 | 7 | 1
氯沙坦钾片 | 7 | 1
泽兰 | 7 | 1
泽贝妥单抗0.1g 加入0.9% 100ML氯化钠静脉滴注 | 7 | 1
泽贝妥单抗0.5g 加入0.9% 500ML氯化钠静脉滴注 | 7 | 1
派安普利单抗注射液200MG加入100ML盐水中 | 7 | 1
淡豆豉 | 7 | 1
激素类及其它 | 7 | 1
灯盏花素片 | 7 | 1
灵芝 | 7 | 1
炒九香虫kl | 7 | 1
炒白扁豆kl | 7 | 1
炒苍耳子 | 7 | 1
炒诃子 | 7 | 1
炒鸡内金粉 | 7 | 1
熊去氧胆酸片 | 7 | 1
特瑞普利单抗240MG 加入氯化钠注射液250ml内静脉滴注 | 7 | 1
特瑞普利单抗240MG加入250ML生理盐水 | 7 | 1
环磷腺苷注射液 | 7 | 1
甘精胰岛素(联邦笔芯)注射液 | 7 | 1
甲磺酸奥希替尼片 | 7 | 1
病重并通知其家属 | 7 | 1
白英 | 7 | 1
白茅根颗粒 | 7 | 1
盐益智仁kl | 7 | 1
盐酸多巴酚丁胺注射液 | 7 | 1
盐酸曲美他嗪片 | 7 | 1
瞿麦 | 7 | 1
硝酸异山梨酯粉针(瑞立喜) | 7 | 1
红景天 | 7 | 1
红景天kl | 7 | 1
红花如意丸 | 7 | 1
肌酐测定 | 7 | 1
肺癌靶向用药10基因ctDNA检测 | 7 | 1
胖大海 | 7 | 1
腹腔内压监测 | 7 | 1
自身免疫性肝病抗体七项 | 7 | 1
苦参kl | 7 | 1
苦杏仁 | 7 | 1
荧光原位杂交技术 | 7 | 1
蜜款冬花 | 7 | 1
血清胃泌素释放肽前体(ProGRP)测定 | 7 | 1
谷维素片(玉威) | 7 | 1
转入外科 | 7 | 1
转外科 | 7 | 1
转外科治疗 | 7 | 1
达格列净片 | 7 | 1
通滞苏润江胶囊 | 7 | 1
重组牛碱性成纤维细胞生长因子凝胶 | 7 | 1
金樱子肉 | 7 | 1
金荞麦 | 7 | 1
银杏叶片 | 7 | 2
长秀霖胰岛素 | 7 | 1
门冬胰岛素30(甘李)注射液 | 7 | 1
间接抗人球蛋白试验 | 7 | 1
防己 | 7 | 1
阿托品注射液 | 7 | 1
青皮 | 7 | 1
青黛 | 7 | 1
非洛地平缓释片(II) | 7 | 1
25%葡萄糖注射液(塑瓶) | 6 | 1
9%氯化钠250ml | 6 | 1
Rhd阴性红细胞悬浮液 | 6 | 1
一次性使用肠道冲洗器 | 6 | 1
一次性内镜注射针 | 6 | 1
一次性无菌手术包 | 6 | 1
一般物理降温 | 6 | 1
一般细菌培养及鉴定 | 6 | 1
丁二磺酸腺苷蛋氨酸 | 6 | 1
三棱 | 6 | 1
九华痔疮栓 | 6 | 1
二甲双胍恩格列净片(I)(国谈) | 6 | 1
二甲双胍缓释片 0.5g bid po | 6 | 1
人血白蛋白针10g | 6 | 1
依托泊苷针0.1 | 6 | 1
元胡止痛片 | 6 | 1
冠心丹参胶囊 | 6 | 1
冬凌草滴丸 | 6 | 1
冰冻血浆150ml | 6 | 1
卡瑞利珠单抗注射液 (自备) 200mg 加入氯化钠250ml内静脉滴注 | 6 | 1
卡瑞利珠单抗注射液 200mg 加入氯化钠250ml内静脉滴注 | 6 | 1
参苓白术散 | 6 | 1
合欢花kl | 6 | 1
天竺黄颗粒 | 6 | 1
头孢唑啉皮试 | 6 | 1
夹子装置(小) | 6 | 1
家属放弃治疗，要求出院 | 6 | 1
床头抬高30度 | 6 | 1
心电事件记录 | 6 | 1
心脑康胶囊 | 6 | 1
批杷止咳颗粒 | 6 | 1
抗链球菌溶血素O全定量测定 | 6 | 1
拟今日上午局麻下行肺穿刺活检术 | 6 | 1
拟定于今天上午行左侧胸腔置管引流术 | 6 | 1
拟定于今日上午在彩超引导下行PICC置管术 | 6 | 1
持续胃肠减压 | 6 | 1
摩罗丹 | 6 | 1
无菌敷贴 | 6 | 1
曲美他嗪片 | 6 | 1
曲马多注射液 2ml im | 6 | 1
替格瑞洛片(进口) | 6 | 1
格列美脲片(迪北) | 6 | 1
氨苄西林钠皮试 | 6 | 1
氯雷他定颗粒 | 6 | 1
注射用曲妥珠单抗350mg 加入氯化钠注射液250ml内静脉滴注 | 6 | 1
注射用门冬氨酸鸟氨酸 2.5g/支 | 6 | 1
派安普利单抗注射液200mg 加入100ML盐水静脉滴注 | 6 | 1
海藻kl | 6 | 1
海金沙kl | 6 | 1
灯盏花素粉针 | 6 | 1
炒枳壳颗粒 | 6 | 1
炒牛蒡子kl | 6 | 1
炒牵牛子 | 6 | 1
煅石决明 | 6 | 1
瑞舒伐他汀钙片(海舒严) | 6 | 1
甘草颗粒 | 6 | 1
生姜颗粒 | 6 | 1
甲胎蛋白(AFP)测定(微粒子化学发光法) | 6 | 1
病危并通知其家属 | 6 | 1
白醋50ml 氯化钠100ml | 6 | 1
皂角 | 6 | 1
红参 | 6 | 1
