# 知识图谱疾病/病症列表 - 中医证型（共 364 条）
# 格式：名称 | 来源 | 频次
痰热蕴肺证 | admission | 6
肝癌，肝郁气滞，为本虚标实之证 | admission | 6
肝脾血瘀证 | admission | 6
肝阳上亢证 | admission | 6
肾亏气虚症 | admission | 6
肾岩，气阴两虚证 | admission | 6
肾阴虚证 | admission | 6
脾虚湿盛证 | admission | 6
膀胱癌，脾气虚弱证，本病病位在膀胱，为本虚标实之证 | admission | 6
血症、气不摄血证 | admission | 6
血症、气血两虚证 | admission | 6
血症，症属气虚亏虚型 | admission | 6
血证、脾胃虚弱证 | admission | 6
贲门癌，正虚瘀结证，为本虚标实之证 | admission | 6
风寒表实证 | admission | 6
湿热瘀阻证 | admission | 5
积证，脾胃虚弱证 | admission | 5
血证、血热妄行证 | admission | 5
噎膈，气阴两虚证 | admission | 4
气滞水停症 | admission | 4
气虚证 | admission | 4
淋证 | admission | 4
湿重于热证 | admission | 4
热毒淤滞证 | admission | 4
痰浊壅肺证 | admission | 4
痰湿型 | admission | 4
痰热阻肺证 | admission | 4
痰瘀阻滞证 | admission | 4
痰饮内阻证 | admission | 4
痹证 | admission | 4
积证、痰瘀互结证 | admission | 4
肺瘀痰瘀证 | admission | 4
肺癌，肺脾两虚证，本病病位在肺，与脾胃关系也极为密切，为本虚标实之证 | admission | 4
肺积症 | admission | 4
脾胃虚证 | admission | 4
虚劳，气血亏虚证为虚证 | admission | 4
血症、邪盛正虚证 | admission | 4
邪盛正虚证 | admission | 4
阴虚型 | admission | 4
乳腺癌，痰瘀互结证，为本虚标实之证 | admission | 3
卵巢癌，正虚毒结证 | admission | 3
气不摄血型 | admission | 3
气血瘀滞证 | admission | 3
水饮凌心证 | admission | 3
痰湿蕴肺证 | admission | 3
痹症 | admission | 3
痹证、寒湿痹阻证 | admission | 3
积证、气阴两虚症 | admission | 3
肝癌，痰瘀互结证，为本虚标实之证 | admission | 3
肝癌，脾虚肝郁证，为本虚标实之证 | admission | 3
肺癌，肺脾气虚症，本病病位在肺，为本虚标实之证 | admission | 3
胆囊占位，痰瘀互结证 | admission | 3
血症、正虚毒结证 | admission | 3
血症、气不摄血型 | admission | 3
血症、湿热瘀阻证 | admission | 3
血证、热毒淤滞证 | admission | 3
中风 中经络 风阳上扰证 | admission | 2
会厌癌，痰瘀互结证 | admission | 2
内科癌症、气滞水停证 | admission | 2
内科癌症、痰瘀互结证 | admission | 2
卵巢癌，正虚瘀结证 | admission | 2
咳嗽肺阴亏虚证 | admission | 2
喘症 | admission | 2
心气不足证 | admission | 2
心阳不足证 | admission | 2
毒热瘀结证 | admission | 2
气滞痰凝证 | admission | 2
气滞胸膈证 | admission | 2
气虚不摄证 | admission | 2
气虚亏虚证 | admission | 2
气虚络淤证 | admission | 2
气血亏虚之证 | admission | 2
淤阻心脉证 | admission | 2
湿热伤中证 | admission | 2
湿热内蕴证 | admission | 2
湿热阻胃证 | admission | 2
热毒炽盛证 | admission | 2
热重于湿证 | admission | 2
痰气交阻证 | admission | 2
痰气内阻证 | admission | 2
痰浊上蒙证 | admission | 2
痰淤互结证 | admission | 2
痰湿内阻证 | admission | 2
痰湿结聚证 | admission | 2
痰湿阻结证 | admission | 2
痰热蕴肺型 | admission | 2
痰瘀阻络证 | admission | 2
痹症、气滞血瘀证 | admission | 2
瘀血痹阻证 | admission | 2
瘀阻心脉证 | admission | 2
积聚痰浊内阻证 | admission | 2
积聚痰瘀互结证 | admission | 2
积聚，气阴两虚证 | admission | 2
积证、气滞湿阻证 | admission | 2
积证、气虚痰结证 | admission | 2
